Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	89.93924327336241	61.0	150.0	150	27.27272727272727	0.7465839999999999
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	95.27264231739474	60.0	150.0	150	27.27272727272727	19.393746999999998
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	95.00493302023557	60.0	150.0	150	27.27272727272727	19.393746999999998
ch_2C_CKDL260002520-1A_2372W3LT4_L5_1	87.97681997318452	61.0	150.0	150	27.27272727272727	1.1449559999999999
ch_2C_CKDL260002520-1A_2372W3LT4_L5_2	89.28183169125091	61.0	150.0	150	27.27272727272727	1.1449559999999999
ch_2C_CKDL260002520-1A_23757VLT4_L4_1	94.33432082793621	61.0	150.0	150	18.181818181818183	30.115063
ch_2C_CKDL260002520-1A_23757VLT4_L4_2	94.54522654359445	60.0	150.0	150	27.27272727272727	30.115063
ch_2D_CKDL260002520-1A_2372W3LT4_L5_1	88.18660021223862	61.0	150.0	150	18.181818181818183	0.851235
ch_2D_CKDL260002520-1A_2372W3LT4_L5_2	89.38366021133999	61.0	150.0	150	27.27272727272727	0.851235
ch_2D_CKDL260002520-1A_23757VLT4_L4_1	94.14509869288605	61.0	150.0	150	18.181818181818183	21.355252999999998
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	94.55098751065864	60.0	150.0	150	27.27272727272727	21.355252999999998
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	86.48381003115766	60.0	150.0	150	18.181818181818183	1.045533
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	87.69152102354843	60.0	150.0	150	27.27272727272727	1.045533
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	93.26705174507127	60.0	150.0	150	18.181818181818183	27.140171
ch_3A_CKDL260002520-1A_23757VLT4_L4_2	93.37122609333697	60.0	150.0	150	27.27272727272727	27.140171
ch_3B_CKDL260002520-1A_2372W3LT4_L5_1	88.35235947318318	60.0	150.0	150	18.181818181818183	1.5499809999999998
ch_3B_CKDL260002520-1A_2372W3LT4_L5_2	89.41568766077306	60.0	150.0	150	27.27272727272727	1.5499809999999998
ch_3B_CKDL260002520-1A_23757VLT4_L4_1	94.35005063899601	60.0	150.0	150	18.181818181818183	39.352993
ch_3B_CKDL260002520-1A_23757VLT4_L4_2	94.5266536721097	60.0	150.0	150	27.27272727272727	39.352993
ch_3C_CKDL260002520-1A_2372W3LT4_L5_1	87.37600208383199	61.0	150.0	150	18.181818181818183	0.9442879999999999
ch_3C_CKDL260002520-1A_2372W3LT4_L5_2	88.61601663407981	60.0	150.0	150	27.27272727272727	0.9442879999999999
ch_3C_CKDL260002520-1A_23757VLT4_L4_1	94.01638319430904	60.0	150.0	150	18.181818181818183	24.832151
ch_3C_CKDL260002520-1A_23757VLT4_L4_2	94.1647382168463	60.0	150.0	150	27.27272727272727	24.832151
ch_3D_CKDL260002520-1A_2372W3LT4_L5_1	88.19819166002252	61.0	150.0	150	18.181818181818183	1.000546
ch_3D_CKDL260002520-1A_2372W3LT4_L5_2	89.93954622011522	60.0	150.0	150	27.27272727272727	1.000546
ch_3D_CKDL260002520-1A_23757VLT4_L4_1	94.33294015132087	60.0	150.0	150	18.181818181818183	26.332978999999998
ch_3D_CKDL260002520-1A_23757VLT4_L4_2	94.56329115893182	60.0	150.0	150	27.27272727272727	26.332978999999998
