Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	1.2464772885569475	25.334992445592192
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	1.2801084803261589	37.65482245385588
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	1.2849657160114547	25.209517273789327
ch_2C_CKDL260002520-1A_2372W3LT4_L5_1	0.8179353617082228	27.77643857056516
ch_2C_CKDL260002520-1A_2372W3LT4_L5_2	1.1087762324491073	19.288426804174136
ch_2C_CKDL260002520-1A_23757VLT4_L4_1	0.8451518099098779	28.349374530612803
ch_2C_CKDL260002520-1A_23757VLT4_L4_2	1.1502781847077657	19.227520792501746
ch_2D_CKDL260002520-1A_2372W3LT4_L5_1	0.8431279258959041	28.729316816155354
ch_2D_CKDL260002520-1A_2372W3LT4_L5_2	1.1571422697609943	20.899986490217152
ch_2D_CKDL260002520-1A_23757VLT4_L4_1	0.8596901193350415	28.78111067099041
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	1.209121708836697	20.96168095034978
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	0.9232611500545655	28.196431867765053
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	1.07304121438539	20.782509973381995
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	0.9536085826430497	27.62918848226859
ch_3A_CKDL260002520-1A_23757VLT4_L4_2	1.0868575588562062	20.44053812335965
ch_3B_CKDL260002520-1A_2372W3LT4_L5_1	0.952334254419893	29.76371968430581
ch_3B_CKDL260002520-1A_2372W3LT4_L5_2	1.1165298155267709	21.84878395283555
ch_3B_CKDL260002520-1A_23757VLT4_L4_1	0.9339670809790757	29.57683548999691
ch_3B_CKDL260002520-1A_23757VLT4_L4_2	1.1636751491811563	21.83362774973685
ch_3C_CKDL260002520-1A_2372W3LT4_L5_1	0.9275771798434376	30.413708529601138
ch_3C_CKDL260002520-1A_2372W3LT4_L5_2	1.1274102816090006	22.602532278287978
ch_3C_CKDL260002520-1A_23757VLT4_L4_1	0.9797983267740278	30.112534351132126
ch_3C_CKDL260002520-1A_23757VLT4_L4_2	1.1568510516869843	22.47967564308062
ch_3D_CKDL260002520-1A_2372W3LT4_L5_1	0.9671719241294254	30.99217827066422
ch_3D_CKDL260002520-1A_2372W3LT4_L5_2	1.1453746254545019	23.98260549739842
ch_3D_CKDL260002520-1A_23757VLT4_L4_1	0.9830372780838811	30.487181112323068
ch_3D_CKDL260002520-1A_23757VLT4_L4_2	1.1787424430786961	24.001162192853304
