Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 6.0)	(12.0, 33.0)	(13.0, 116.0)	(14.0, 344.0)	(15.0, 546.0)	(16.0, 592.0)	(17.0, 473.0)	(18.0, 482.0)	(19.0, 534.0)	(20.0, 536.0)	(21.0, 530.0)	(22.0, 708.0)	(23.0, 704.0)	(24.0, 802.0)	(25.0, 951.0)	(26.0, 1065.0)	(27.0, 1219.0)	(28.0, 1455.0)	(29.0, 1689.0)	(30.0, 2073.0)	(31.0, 2451.0)	(32.0, 3086.0)	(33.0, 3953.0)	(34.0, 5060.0)	(35.0, 7193.0)	(36.0, 11367.0)	(37.0, 24414.0)	(38.0, 63338.0)	(39.0, 387711.0)	(40.0, 138220.0)	
C1_D_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 1.0)	(13.0, 9.0)	(14.0, 84.0)	(15.0, 307.0)	(16.0, 817.0)	(17.0, 3215.0)	(18.0, 12003.0)	(19.0, 30324.0)	(20.0, 48955.0)	(21.0, 75995.0)	(22.0, 93553.0)	(23.0, 80104.0)	(24.0, 55989.0)	(25.0, 39069.0)	(26.0, 34714.0)	(27.0, 33811.0)	(28.0, 35306.0)	(29.0, 40343.0)	(30.0, 51191.0)	(31.0, 68428.0)	(32.0, 115017.0)	(33.0, 165345.0)	(34.0, 197977.0)	(35.0, 283627.0)	(36.0, 451531.0)	(37.0, 916662.0)	(38.0, 2229308.0)	(39.0, 10536564.0)	(40.0, 2124765.0)		
C1_D_CKDL260002520-1A_23757VLT4_L4_2	(11.0, 26.0)	(12.0, 285.0)	(13.0, 1554.0)	(14.0, 4738.0)	(15.0, 7934.0)	(16.0, 8792.0)	(17.0, 8289.0)	(18.0, 8081.0)	(19.0, 8248.0)	(20.0, 9454.0)	(21.0, 10503.0)	(22.0, 11875.0)	(23.0, 13867.0)	(24.0, 15720.0)	(25.0, 18533.0)	(26.0, 21591.0)	(27.0, 26683.0)	(28.0, 33446.0)	(29.0, 40427.0)	(30.0, 53313.0)	(31.0, 66171.0)	(32.0, 90423.0)	(33.0, 118476.0)	(34.0, 169885.0)	(35.0, 261168.0)	(36.0, 454122.0)	(37.0, 976287.0)	(38.0, 2481486.0)	(39.0, 10862303.0)	(40.0, 1941334.0)	
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 2.0)	(14.0, 10.0)	(15.0, 56.0)	(16.0, 89.0)	(17.0, 194.0)	(18.0, 431.0)	(19.0, 815.0)	(20.0, 1367.0)	(21.0, 1998.0)	(22.0, 2724.0)	(23.0, 3180.0)	(24.0, 3251.0)	(25.0, 3103.0)	(26.0, 3176.0)	(27.0, 3483.0)	(28.0, 3772.0)	(29.0, 4011.0)	(30.0, 4482.0)	(31.0, 5111.0)	(32.0, 7659.0)	(33.0, 10197.0)	(34.0, 11088.0)	(35.0, 13877.0)	(36.0, 20102.0)	(37.0, 38424.0)	(38.0, 87003.0)	(39.0, 535475.0)	(40.0, 205920.0)			
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 6.0)	(12.0, 23.0)	(13.0, 115.0)	(14.0, 378.0)	(15.0, 721.0)	(16.0, 800.0)	(17.0, 770.0)	(18.0, 654.0)	(19.0, 709.0)	(20.0, 823.0)	(21.0, 868.0)	(22.0, 922.0)	(23.0, 1005.0)	(24.0, 1167.0)	(25.0, 1342.0)	(26.0, 1469.0)	(27.0, 1796.0)	(28.0, 2101.0)	(29.0, 2460.0)	(30.0, 2937.0)	(31.0, 3428.0)	(32.0, 4340.0)	(33.0, 5514.0)	(34.0, 7315.0)	(35.0, 10826.0)	(36.0, 17291.0)	(37.0, 36361.0)	(38.0, 92759.0)	(39.0, 561199.0)	(40.0, 210901.0)	
C2_A_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 11.0)	(14.0, 125.0)	(15.0, 487.0)	(16.0, 1334.0)	(17.0, 5059.0)	(18.0, 18957.0)	(19.0, 48463.0)	(20.0, 77440.0)	(21.0, 118943.0)	(22.0, 143267.0)	(23.0, 121895.0)	(24.0, 83942.0)	(25.0, 57541.0)	(26.0, 51299.0)	(27.0, 50265.0)	(28.0, 52135.0)	(29.0, 59192.0)	(30.0, 73646.0)	(31.0, 98167.0)	(32.0, 165988.0)	(33.0, 228610.0)	(34.0, 282588.0)	(35.0, 394052.0)	(36.0, 622566.0)	(37.0, 1270567.0)	(38.0, 3079581.0)	(39.0, 15321725.0)	(40.0, 3448425.0)			
C2_A_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 23.0)	(12.0, 240.0)	(13.0, 1761.0)	(14.0, 5682.0)	(15.0, 10438.0)	(16.0, 11820.0)	(17.0, 11738.0)	(18.0, 11600.0)	(19.0, 12276.0)	(20.0, 13621.0)	(21.0, 15233.0)	(22.0, 17602.0)	(23.0, 20215.0)	(24.0, 22638.0)	(25.0, 27236.0)	(26.0, 31315.0)	(27.0, 37889.0)	(28.0, 47367.0)	(29.0, 57531.0)	(30.0, 76057.0)	(31.0, 94657.0)	(32.0, 132030.0)	(33.0, 173298.0)	(34.0, 253153.0)	(35.0, 391230.0)	(36.0, 680006.0)	(37.0, 1436533.0)	(38.0, 3590290.0)	(39.0, 15685770.0)	(40.0, 3007020.0)
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	(12.0, 1.0)	(13.0, 6.0)	(14.0, 45.0)	(15.0, 101.0)	(16.0, 144.0)	(17.0, 196.0)	(18.0, 380.0)	(19.0, 655.0)	(20.0, 1091.0)	(21.0, 1554.0)	(22.0, 2036.0)	(23.0, 2392.0)	(24.0, 2586.0)	(25.0, 2597.0)	(26.0, 2797.0)	(27.0, 3006.0)	(28.0, 3390.0)	(29.0, 3624.0)	(30.0, 4084.0)	(31.0, 4703.0)	(32.0, 6565.0)	(33.0, 9189.0)	(34.0, 10876.0)	(35.0, 13210.0)	(36.0, 19249.0)	(37.0, 37566.0)	(38.0, 86868.0)	(39.0, 507663.0)	(40.0, 151787.0)		
C2_B_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 3.0)	(12.0, 32.0)	(13.0, 156.0)	(14.0, 463.0)	(15.0, 753.0)	(16.0, 822.0)	(17.0, 703.0)	(18.0, 647.0)	(19.0, 670.0)	(20.0, 727.0)	(21.0, 782.0)	(22.0, 804.0)	(23.0, 960.0)	(24.0, 1033.0)	(25.0, 1263.0)	(26.0, 1318.0)	(27.0, 1599.0)	(28.0, 1964.0)	(29.0, 2150.0)	(30.0, 2569.0)	(31.0, 2965.0)	(32.0, 3935.0)	(33.0, 4821.0)	(34.0, 6419.0)	(35.0, 9324.0)	(36.0, 15067.0)	(37.0, 31537.0)	(38.0, 82320.0)	(39.0, 520446.0)	(40.0, 182109.0)	
C2_B_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 19.0)	(14.0, 109.0)	(15.0, 421.0)	(16.0, 1095.0)	(17.0, 4113.0)	(18.0, 15848.0)	(19.0, 37974.0)	(20.0, 61821.0)	(21.0, 95652.0)	(22.0, 110832.0)	(23.0, 93827.0)	(24.0, 69806.0)	(25.0, 51918.0)	(26.0, 47153.0)	(27.0, 46214.0)	(28.0, 48890.0)	(29.0, 55726.0)	(30.0, 70232.0)	(31.0, 92381.0)	(32.0, 155332.0)	(33.0, 217264.0)	(34.0, 265680.0)	(35.0, 381450.0)	(36.0, 611788.0)	(37.0, 1263964.0)	(38.0, 3132865.0)	(39.0, 14139136.0)	(40.0, 2389848.0)			
C2_B_CKDL260002520-1A_23757VLT4_L4_2	(11.0, 17.0)	(12.0, 246.0)	(13.0, 1573.0)	(14.0, 5143.0)	(15.0, 8862.0)	(16.0, 9899.0)	(17.0, 9418.0)	(18.0, 9290.0)	(19.0, 10002.0)	(20.0, 11138.0)	(21.0, 12581.0)	(22.0, 14391.0)	(23.0, 16638.0)	(24.0, 18749.0)	(25.0, 22595.0)	(26.0, 26572.0)	(27.0, 32060.0)	(28.0, 39560.0)	(29.0, 48588.0)	(30.0, 64050.0)	(31.0, 81006.0)	(32.0, 111172.0)	(33.0, 147080.0)	(34.0, 212910.0)	(35.0, 327880.0)	(36.0, 581284.0)	(37.0, 1275313.0)	(38.0, 3307361.0)	(39.0, 14524592.0)	(40.0, 2531388.0)	
C2_C_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 5.0)	(14.0, 24.0)	(15.0, 73.0)	(16.0, 84.0)	(17.0, 196.0)	(18.0, 355.0)	(19.0, 693.0)	(20.0, 1140.0)	(21.0, 1685.0)	(22.0, 2194.0)	(23.0, 2551.0)	(24.0, 2487.0)	(25.0, 2438.0)	(26.0, 2544.0)	(27.0, 2925.0)	(28.0, 3202.0)	(29.0, 3524.0)	(30.0, 3676.0)	(31.0, 3994.0)	(32.0, 4745.0)	(33.0, 5760.0)	(34.0, 7882.0)	(35.0, 11411.0)	(36.0, 18391.0)	(37.0, 35504.0)	(38.0, 79229.0)	(39.0, 478295.0)	(40.0, 164560.0)			
C2_C_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 5.0)	(12.0, 18.0)	(13.0, 102.0)	(14.0, 382.0)	(15.0, 707.0)	(16.0, 750.0)	(17.0, 655.0)	(18.0, 580.0)	(19.0, 624.0)	(20.0, 678.0)	(21.0, 728.0)	(22.0, 782.0)	(23.0, 891.0)	(24.0, 975.0)	(25.0, 1147.0)	(26.0, 1281.0)	(27.0, 1489.0)	(28.0, 1752.0)	(29.0, 1894.0)	(30.0, 2461.0)	(31.0, 2817.0)	(32.0, 3493.0)	(33.0, 4441.0)	(34.0, 5882.0)	(35.0, 8623.0)	(36.0, 13789.0)	(37.0, 29293.0)	(38.0, 76211.0)	(39.0, 490651.0)	(40.0, 186466.0)	
C2_C_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 15.0)	(14.0, 127.0)	(15.0, 499.0)	(16.0, 1233.0)	(17.0, 4480.0)	(18.0, 15908.0)	(19.0, 39280.0)	(20.0, 63122.0)	(21.0, 96001.0)	(22.0, 114439.0)	(23.0, 96024.0)	(24.0, 68306.0)	(25.0, 49136.0)	(26.0, 44253.0)	(27.0, 43269.0)	(28.0, 45237.0)	(29.0, 50786.0)	(30.0, 62312.0)	(31.0, 74859.0)	(32.0, 99369.0)	(33.0, 142448.0)	(34.0, 228805.0)	(35.0, 358376.0)	(36.0, 575718.0)	(37.0, 1146959.0)	(38.0, 2820079.0)	(39.0, 13496198.0)	(40.0, 2705385.0)			
C2_C_CKDL260002520-1A_23757VLT4_L4_2	(11.0, 14.0)	(12.0, 176.0)	(13.0, 1436.0)	(14.0, 4864.0)	(15.0, 8299.0)	(16.0, 9644.0)	(17.0, 9145.0)	(18.0, 9288.0)	(19.0, 9759.0)	(20.0, 11033.0)	(21.0, 12315.0)	(22.0, 14095.0)	(23.0, 16286.0)	(24.0, 18416.0)	(25.0, 21918.0)	(26.0, 25483.0)	(27.0, 30514.0)	(28.0, 37709.0)	(29.0, 44934.0)	(30.0, 59804.0)	(31.0, 73875.0)	(32.0, 103427.0)	(33.0, 136337.0)	(34.0, 198630.0)	(35.0, 304979.0)	(36.0, 538212.0)	(37.0, 1183169.0)	(38.0, 3058941.0)	(39.0, 13852954.0)	(40.0, 2646967.0)	
C2_D_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 1.0)	(14.0, 8.0)	(15.0, 35.0)	(16.0, 118.0)	(17.0, 218.0)	(18.0, 464.0)	(19.0, 947.0)	(20.0, 1675.0)	(21.0, 2542.0)	(22.0, 3341.0)	(23.0, 3816.0)	(24.0, 3778.0)	(25.0, 3750.0)	(26.0, 3817.0)	(27.0, 4207.0)	(28.0, 4443.0)	(29.0, 4935.0)	(30.0, 5475.0)	(31.0, 5922.0)	(32.0, 7348.0)	(33.0, 9916.0)	(34.0, 14622.0)	(35.0, 18780.0)	(36.0, 25868.0)	(37.0, 48837.0)	(38.0, 110671.0)	(39.0, 678609.0)	(40.0, 254708.0)			
C2_D_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 3.0)	(12.0, 35.0)	(13.0, 122.0)	(14.0, 415.0)	(15.0, 717.0)	(16.0, 837.0)	(17.0, 809.0)	(18.0, 765.0)	(19.0, 828.0)	(20.0, 870.0)	(21.0, 975.0)	(22.0, 1110.0)	(23.0, 1244.0)	(24.0, 1373.0)	(25.0, 1523.0)	(26.0, 1766.0)	(27.0, 2073.0)	(28.0, 2458.0)	(29.0, 2730.0)	(30.0, 3467.0)	(31.0, 4099.0)	(32.0, 5150.0)	(33.0, 6702.0)	(34.0, 8811.0)	(35.0, 13037.0)	(36.0, 20963.0)	(37.0, 44020.0)	(38.0, 112242.0)	(39.0, 705542.0)	(40.0, 274165.0)	
C2_D_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 19.0)	(14.0, 142.0)	(15.0, 430.0)	(16.0, 1237.0)	(17.0, 5419.0)	(18.0, 22646.0)	(19.0, 57394.0)	(20.0, 90285.0)	(21.0, 139066.0)	(22.0, 161242.0)	(23.0, 134426.0)	(24.0, 92821.0)	(25.0, 64375.0)	(26.0, 57611.0)	(27.0, 56766.0)	(28.0, 58539.0)	(29.0, 67081.0)	(30.0, 83529.0)	(31.0, 102102.0)	(32.0, 147826.0)	(33.0, 238091.0)	(34.0, 355512.0)	(35.0, 474465.0)	(36.0, 748767.0)	(37.0, 1525894.0)	(38.0, 3777705.0)	(39.0, 19066880.0)	(40.0, 4215644.0)			
C2_D_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 29.0)	(12.0, 294.0)	(13.0, 2195.0)	(14.0, 6881.0)	(15.0, 11424.0)	(16.0, 12963.0)	(17.0, 12234.0)	(18.0, 12337.0)	(19.0, 12914.0)	(20.0, 14796.0)	(21.0, 16174.0)	(22.0, 18515.0)	(23.0, 21227.0)	(24.0, 23839.0)	(25.0, 28665.0)	(26.0, 33295.0)	(27.0, 40046.0)	(28.0, 50554.0)	(29.0, 61274.0)	(30.0, 81857.0)	(31.0, 103488.0)	(32.0, 144343.0)	(33.0, 190936.0)	(34.0, 281644.0)	(35.0, 437312.0)	(36.0, 766651.0)	(37.0, 1667688.0)	(38.0, 4277113.0)	(39.0, 19530396.0)	(40.0, 3884829.0)
C3_A_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 1.0)	(14.0, 25.0)	(15.0, 77.0)	(16.0, 140.0)	(17.0, 260.0)	(18.0, 520.0)	(19.0, 969.0)	(20.0, 1595.0)	(21.0, 2382.0)	(22.0, 3102.0)	(23.0, 3705.0)	(24.0, 3733.0)	(25.0, 3652.0)	(26.0, 3870.0)	(27.0, 4149.0)	(28.0, 4565.0)	(29.0, 5059.0)	(30.0, 5678.0)	(31.0, 6195.0)	(32.0, 7733.0)	(33.0, 10599.0)	(34.0, 14930.0)	(35.0, 19310.0)	(36.0, 27216.0)	(37.0, 50878.0)	(38.0, 112153.0)	(39.0, 666486.0)	(40.0, 269245.0)			
C3_A_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 7.0)	(12.0, 29.0)	(13.0, 169.0)	(14.0, 495.0)	(15.0, 908.0)	(16.0, 1067.0)	(17.0, 947.0)	(18.0, 901.0)	(19.0, 939.0)	(20.0, 1009.0)	(21.0, 1046.0)	(22.0, 1205.0)	(23.0, 1301.0)	(24.0, 1541.0)	(25.0, 1818.0)	(26.0, 2015.0)	(27.0, 2368.0)	(28.0, 2761.0)	(29.0, 3237.0)	(30.0, 3964.0)	(31.0, 4922.0)	(32.0, 6414.0)	(33.0, 8107.0)	(34.0, 10867.0)	(35.0, 15988.0)	(36.0, 25164.0)	(37.0, 49564.0)	(38.0, 116486.0)	(39.0, 682338.0)	(40.0, 280650.0)	
C3_A_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 1.0)	(13.0, 14.0)	(14.0, 145.0)	(15.0, 552.0)	(16.0, 1482.0)	(17.0, 5979.0)	(18.0, 21631.0)	(19.0, 48197.0)	(20.0, 78871.0)	(21.0, 131121.0)	(22.0, 151587.0)	(23.0, 124425.0)	(24.0, 86906.0)	(25.0, 63536.0)	(26.0, 59497.0)	(27.0, 59364.0)	(28.0, 65621.0)	(29.0, 77239.0)	(30.0, 96470.0)	(31.0, 118710.0)	(32.0, 173562.0)	(33.0, 270931.0)	(34.0, 366576.0)	(35.0, 508671.0)	(36.0, 797651.0)	(37.0, 1591929.0)	(38.0, 3823945.0)	(39.0, 19031613.0)	(40.0, 4635999.0)		
C3_A_CKDL260002520-1A_23757VLT4_L4_2	(11.0, 30.0)	(12.0, 285.0)	(13.0, 2074.0)	(14.0, 6899.0)	(15.0, 12506.0)	(16.0, 14462.0)	(17.0, 14121.0)	(18.0, 14061.0)	(19.0, 14892.0)	(20.0, 16798.0)	(21.0, 18887.0)	(22.0, 21700.0)	(23.0, 24737.0)	(24.0, 27810.0)	(25.0, 33192.0)	(26.0, 38903.0)	(27.0, 47890.0)	(28.0, 60707.0)	(29.0, 78281.0)	(30.0, 109342.0)	(31.0, 148163.0)	(32.0, 209533.0)	(33.0, 272514.0)	(34.0, 365827.0)	(35.0, 512139.0)	(36.0, 832203.0)	(37.0, 1707418.0)	(38.0, 4218563.0)	(39.0, 19439381.0)	(40.0, 4128907.0)	
