	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000000948	0.172351	0.26584	0.296528	0.742236	0.231839	0.329053	0.501452	0.476533	0.385589
ENSMUSG00000000957	48.385354	47.160849	46.746176	66.606216	64.144474	63.941089	65.038995	63.893317	66.471813
ENSMUSG00000000958	0.0523	0.095695	0.129232	0.194486	0.398273	0.299994	0.207228	0.213826	0.233583
ENSMUSG00000000959	41.591367	43.626092	43.272277	36.557775	36.10286	35.535495	33.082551	31.375509	32.888283
ENSMUSG00000000976	12.949184	12.189603	11.768916	12.141588	13.015914	11.84534	12.464507	13.745962	13.044977
ENSMUSG00000000982	1.173048	1.01237	1.577137	1.043142	1.47871	1.277864	1.798641	2.493422	2.929982
ENSMUSG00000000983	0.530897	0.561701	0.299572	0.711253	0.20887	0.316378	0.215145	0.31904	0.748429
ENSMUSG00000001014	0.725005	0.370555	0.521129	0.519731	0.513986	0.718744	0.773828	0.389956	0.339202
ENSMUSG00000001016	145.276338	144.632206	144.366672	145.289822	144.951646	141.812589	150.25086	151.210863	154.100322
ENSMUSG00000001017	87.302826	91.860066	86.713228	112.759108	115.655783	117.380384	124.693685	118.482219	129.950615
ENSMUSG00000001018	62.195672	59.708669	60.08841	59.527394	63.561656	62.236074	65.064956	70.113861	70.872746
ENSMUSG00000001020	2727.234401	2554.754826	2605.684991	3232.964039	3191.805275	2979.032481	3669.012494	3621.065596	3721.958558
ENSMUSG00000001021	9.102382	11.392675	10.438341	13.277274	12.698689	15.122992	13.037318	14.731784	15.6339
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	3474.55657	3303.737593	3471.448799	4156.786276	4278.101462	4442.107002	4536.935353	4474.711108	4502.865697
ENSMUSG00000001027	0.015063	0.011083	0.004941	0	0	0	0.010379	0	0.15815
ENSMUSG00000001029	0	0	0	0	0	0	0	0	0
ENSMUSG00000001034	15.502043	15.90714	15.757085	17.610316	18.125021	16.324377	17.790156	17.64832	16.485607
ENSMUSG00000001036	29.68166	28.625494	29.262682	28.344926	26.933701	28.601327	31.726314	31.316897	28.417209
ENSMUSG00000001039	20.478937	22.124629	22.659988	19.847871	23.001276	25.215823	24.178532	24.270883	24.438048
ENSMUSG00000001052	25.323207	23.626695	23.257421	27.970504	23.60907	24.877525	25.172334	22.307697	25.987051
ENSMUSG00000001053	7.816047	7.68291	7.911387	6.900516	6.31497	6.173554	5.879231	5.518674	6.153489
ENSMUSG00000001054	16.250923	16.648653	17.149502	17.636996	16.557455	17.764268	17.259288	17.518819	17.510209
ENSMUSG00000001056	74.534463	75.710402	77.783293	103.407051	107.156323	104.401701	97.308971	93.553257	93.229485
ENSMUSG00000001062	17.103072	15.100609	15.315985	13.938485	12.902073	11.418505	9.207002	11.743855	9.409492
ENSMUSG00000001065	4.213581	3.821389	3.910373	3.497428	3.900971	4.207605	4.795578	4.082532	4.226498
ENSMUSG00000001076	1.200348	1.313224	1.219961	1.419166	1.205231	1.230684	1.209042	0.547119	1.024369
ENSMUSG00000001082	45.080691	44.947455	48.213144	47.925013	51.680968	46.575217	44.630748	52.27266	45.272953
ENSMUSG00000001089	10.390366	10.059376	9.779534	11.834595	11.826252	11.885408	13.230332	14.290373	13.59084
ENSMUSG00000001095	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	143.166107	141.469837	141.082251	143.03768	144.905396	142.538029	149.812324	151.993162	147.436424
ENSMUSG00000001100	102.228891	106.892125	103.151304	109.598776	113.295985	106.692683	117.05596	109.496321	114.718103
ENSMUSG00000001103	0.141586	0.123773	0.13785	0.196435	0.212504	0.272174	0.152463	0.090665	0.087304
ENSMUSG00000001105	48.374582	43.036211	46.421006	64.496356	67.00011	63.88634	71.473835	69.49743	67.770189
ENSMUSG00000001119	268.978902	271.283644	263.079499	275.126779	267.457891	263.036526	255.96489	254.675652	253.760408
ENSMUSG00000001120	12.652416	13.664011	12.873595	15.363569	14.185459	15.473613	16.092203	17.575691	16.408479
ENSMUSG00000001123	69.318646	67.450567	70.203848	79.569699	82.126545	77.104357	87.185926	85.573021	89.709454
ENSMUSG00000001127	68.714203	61.166864	61.054238	54.861422	55.32854	53.30865	59.667722	57.623874	59.487658
ENSMUSG00000001128	0.378776	0.297299	0.409728	0.377553	0.580951	0.388613	0.489096	0.484858	0.952377
ENSMUSG00000001131	375.757413	397.148565	397.920218	376.60472	382.9317	380.277289	403.98625	394.020889	407.760979
ENSMUSG00000001134	32.741882	38.110712	32.838805	44.88652	46.961302	43.943085	43.792992	51.04063	42.496066
ENSMUSG00000001138	6.925549	6.076312	6.64136	6.663901	6.198086	6.439756	7.834553	7.66821	7.124011
ENSMUSG00000001143	22.645382	24.497299	25.019123	22.971433	27.322709	23.724162	23.105424	22.114377	22.641089
ENSMUSG00000001150	7.146406	7.202826	6.569561	9.848613	10.423798	10.579958	11.022756	12.443076	10.984415
ENSMUSG00000001151	4.01901	4.206151	3.786684	4.921861	4.540521	4.654918	5.886489	6.096941	5.480605
ENSMUSG00000001155	0	0	0	0	0	0	0	0	0
ENSMUSG00000001156	10.042766	9.008805	11.683961	5.539207	6.096075	6.438785	4.253018	3.872342	4.441464
ENSMUSG00000001157	21.147306	21.292031	19.820952	25.971964	25.934522	26.21143	30.236965	27.284276	27.862476
ENSMUSG00000001158	127.747578	128.780953	135.933163	124.433216	116.689971	116.277873	115.535049	116.387437	115.531356
ENSMUSG00000001166	1.473768	1.342264	1.58096	1.705115	1.514988	2.336964	2.798015	2.812069	2.232437
ENSMUSG00000001168	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	14.554421	14.580154	13.834811	14.153549	12.901471	12.973984	14.328772	14.952725	14.048804
ENSMUSG00000001175	208.052902	221.963275	215.113294	397.353358	383.484006	411.730616	401.57778	412.778216	426.4274
ENSMUSG00000001211	85.649461	82.447915	78.822075	76.200945	76.723862	74.69412	69.310504	65.577857	68.377011
ENSMUSG00000001225	0	0	0	0	0	0	0	0	0
ENSMUSG00000001227	0.696421	0.873236	0.960612	2.668026	2.519608	2.892941	2.971317	2.512493	2.923314
ENSMUSG00000001228	72.070544	71.606624	66.722388	86.395337	84.090765	85.33033	89.471658	83.382425	87.49433
ENSMUSG00000001229	18.625029	18.135587	17.196274	20.357917	19.85202	19.984414	18.105646	18.207697	18.874758
ENSMUSG00000001240	1.155599	0.887867	1.367471	2.164567	1.397815	1.095071	1.00716	2.064448	1.359674
ENSMUSG00000001247	0.018728	0	0	0	0.038281	0.020189	0	0.057409	0.038592
ENSMUSG00000001248	34.405534	33.999864	34.880255	25.246732	27.461165	21.603746	22.792456	21.703719	21.009968
ENSMUSG00000001249	0.042056	0.170688	0	0	0.021623	0.06785	0	0	0.020103
ENSMUSG00000001260	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	0	0	0	0	0	0	0.026325	0	0
ENSMUSG00000001280	38.20169	37.354431	35.634028	29.632396	31.267807	29.211803	24.502077	26.093499	25.074739
ENSMUSG00000001281	5.652731	3.990108	3.875565	3.870086	3.276001	3.70226	5.17705	4.017066	3.421264
ENSMUSG00000001285	43.705163	43.506086	45.662394	71.014599	78.297042	80.845512	75.114423	80.300801	72.772343
ENSMUSG00000001288	61.129329	65.008714	60.014744	56.550204	57.799101	56.18615	51.706883	49.468564	53.652645
ENSMUSG00000001289	541.294927	541.796797	532.848298	523.094638	483.535352	523.781357	485.086162	508.475897	469.350948
ENSMUSG00000001300	7.219903	7.080378	6.993803	11.206979	11.091123	11.13197	13.391212	13.411113	13.648976
ENSMUSG00000001305	22.151799	21.464836	21.735011	30.550966	30.194003	30.171455	30.315688	28.148859	31.650938
ENSMUSG00000001313	40.478419	41.161738	41.745718	37.242747	39.315944	37.483633	39.859316	39.624316	39.399267
ENSMUSG00000001323	7.014558	7.037072	9.676847	7.054853	9.391951	8.447044	10.056825	10.705666	9.698091
ENSMUSG00000001333	5.14887	4.141891	4.759799	4.614905	4.961236	5.48199	6.425887	6.127658	6.588263
ENSMUSG00000001334	0.062966	0.055416	0.076969	0.052804	0.034744	0	0.080962	0.077319	0.06498
ENSMUSG00000001348	0.113469	0.061995	0.138091	0.039356	0.058119	0.090881	0.029177	0	0.058305
ENSMUSG00000001349	0.813571	1.782977	1.264199	0.60004	1.370383	1.39731	1.982267	0.994441	1.538679
ENSMUSG00000001366	2.910432	4.337185	3.151978	8.410633	8.576711	8.380572	8.518556	7.57394	7.709963
ENSMUSG00000001376	6.81562	7.193611	6.086238	7.61622	7.551196	8.07201	7.630989	7.716861	7.933513
ENSMUSG00000001380	64.611868	58.653425	63.839312	73.57603	73.946318	75.815838	70.496866	64.271991	70.49867
ENSMUSG00000001383	39.914394	40.998661	40.918283	52.589311	50.943047	49.950613	51.504725	51.806003	51.087064
ENSMUSG00000001403	261.131699	269.917918	275.932666	246.819423	244.762576	231.164115	249.246879	242.381988	249.424652
ENSMUSG00000001415	40.049598	39.631975	42.85811	34.71055	35.327313	35.323614	31.365995	33.440957	29.732753
ENSMUSG00000001416	215.463139	201.808203	201.60854	302.387297	324.801427	324.137141	329.329006	320.211428	300.277943
ENSMUSG00000001418	198.498865	197.275585	188.688729	201.52274	184.612538	173.22262	185.215889	166.642234	190.578407
ENSMUSG00000001419	31.016068	30.018338	29.281735	27.275438	30.708498	29.872447	27.646557	30.183981	28.031139
ENSMUSG00000001420	0.700436	0.540077	0.425567	1.102538	1.022986	1.34645	1.264783	0.9486	1.269372
ENSMUSG00000001424	76.779119	78.333278	70.847703	87.428673	84.04935	87.484296	66.388172	79.958645	68.78255
ENSMUSG00000001435	13.20381	11.480659	11.853778	22.805858	19.760931	20.98423	20.464645	22.274169	21.503037
ENSMUSG00000001436	20.728786	20.913306	21.542992	21.310312	22.304907	22.010601	20.777494	20.742533	20.610942
ENSMUSG00000001440	240.849257	245.154172	228.284125	246.621928	226.376347	243.019977	194.467145	207.777692	192.586313
ENSMUSG00000001441	87.356781	80.861263	81.445614	75.390467	79.958274	81.276614	77.724291	81.573257	79.032912
ENSMUSG00000001444	0.042361	0	0	0	0.043717	0.04587	0.029132	0	0.014566
ENSMUSG00000001445	91.191674	87.720123	87.717301	99.872033	103.019132	101.065196	111.728054	105.02781	110.460384
ENSMUSG00000001467	98.545534	94.913642	96.101276	100.62538	97.349157	95.203755	86.189528	90.970469	88.055033
ENSMUSG00000001472	231.435724	230.506531	229.793899	228.839118	223.433349	227.932878	233.79629	225.776802	232.490064
ENSMUSG00000001473	251.177013	248.699309	246.870809	320.439761	321.040852	317.444437	369.986331	361.287729	370.519447
ENSMUSG00000001482	41.268504	40.799528	39.151013	38.511755	40.467702	39.185778	38.9653	39.413606	35.648431
ENSMUSG00000001493	0.558205	0.560645	0.406024	0.467373	0.657738	0.689564	1.00321	1.223032	0.756433
ENSMUSG00000001494	0	0	0.016976	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0	0	0	0
