	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000027876	0	0	0	0	0	0	0	0	0
ENSMUSG00000027878	1453.987	1253.995	1279.991	1907.965	2665.987	2459.98	3286.957	2239.966	3135.942
ENSMUSG00000027879	4096	3590	4185.001	2800	3757	3422	3789.001	2582	3784.001
ENSMUSG00000027880	0	0	0	0	0	0	0	0	0
ENSMUSG00000027881	3867	3445	3640	2865.999	3514	3209.001	3078	2128.001	3055
ENSMUSG00000027882	2054	1954.002	2281	1818.999	2312	2189	2762.998	1782	2777.988
ENSMUSG00000027883	4005	3511	3882	2418	3225	3064	3561	2484	3538
ENSMUSG00000027884	2166.999	1908.999	2221	1547	2118	1872.001	2180	1332	2188.999
ENSMUSG00000027886	18	13	16	7	12	12	18	8	13
ENSMUSG00000027887	0	0	0	0	0	0	0	0	0
ENSMUSG00000027889	2286	2009.001	2386.001	1922	2703.999	2461	2903	1931.999	3025
ENSMUSG00000027890	37	36	34	30	48	36	51	24	29
ENSMUSG00000027893	21576.999	18929.001	20962	15206.001	20710.999	19738.999	22703	15342	22727.001
ENSMUSG00000027894	3477	3118	3460	3119.001	4294.999	4050.001	4173	2877.999	4211
ENSMUSG00000027895	0	0	0	0	0	0	0	0	0
ENSMUSG00000027896	1	0	1	1	0	1	0	0	3
ENSMUSG00000027900	1285	1092.001	1254.001	897.002	1236.001	1171	1274	868	1233.999
ENSMUSG00000027901	48	27	50	31	48	31	47	16	46
ENSMUSG00000027902	0	0	0	0	0	0	0	0	0
ENSMUSG00000027905	1758	1536	1743	1259.999	1707	1556	1672	1106	1663
ENSMUSG00000027907	14052.187	12019.09	14215.16	14968.566	20352.715	19413.12	22302.912	15116.683	23536.123
ENSMUSG00000027908	1	0	0	0	0	0	0	0	0
ENSMUSG00000027912	0	0	0	1	1	0	0	0	3
ENSMUSG00000027913	55	32	63	23	32	21	19	14	29
ENSMUSG00000027919	4	12	8	5	15	6	12	12	11
ENSMUSG00000027923	0	1	0	0	0	0	0	0	0
ENSMUSG00000027925	49	41	52	68	110	93	116	80	132
ENSMUSG00000027927	0	3	0	0	0	0	0	0	0
ENSMUSG00000027931	116	103	125	110	157	127	118	104	147
ENSMUSG00000027932	653	586	664	600	859.001	774.999	807	586	821.001
ENSMUSG00000027933	3252	2880	3182	2412.999	3316	3030	3261	2202	3182.001
ENSMUSG00000027935	2041	1846	1994	1438	1953	1847	2160	1422	2114
ENSMUSG00000027936	2327.999	2110.001	2229.001	1316.999	1810	1591.999	1497.999	1032.001	1535
ENSMUSG00000027937	1091	1136	1167.001	882.001	1236.999	1128	1179.999	812	1199
ENSMUSG00000027938	1	1	7	5	2	5	2	0	4
ENSMUSG00000027939	6	7	9	10	20	5	9	2	5
ENSMUSG00000027940	13826.539	12006.881	13995.748	15572.62	20660.385	19670.596	22316.559	14822.63	21552.73
ENSMUSG00000027942	5002.008	4438.059	4858.118	2520.093	3464.672	3181.89	3018.477	2072.496	3013.926
ENSMUSG00000027944	4544.272	3962.87	4485.005	3040.054	4033.235	3695.913	4207.069	2683.431	4087.32
ENSMUSG00000027947	433	409	497	511	723	695	845	562	860
ENSMUSG00000027950	2	3	1	7	9	7	13	8	8
ENSMUSG00000027951	1219.999	1074	1197	1234	1614	1488	1942.001	1316	1904.001
ENSMUSG00000027952	2156	1997	2120	1628	2330	2136.001	2278	1604	2439
ENSMUSG00000027953	1784.001	1580.999	1853	1099.999	1689	1447.001	1531	973.999	1501.001
ENSMUSG00000027954	2091	1885	2018	1019	1298	1200	1051	752	1129
ENSMUSG00000027955	3422.001	2934.999	3471	3238	4055.001	3830.999	4773	3123.999	4598.999
ENSMUSG00000027956	53	59	61	42	44	66	48	34	53
ENSMUSG00000027957	3215.685	2776	3295	2441	3121	2827	3642.763	2418	3597.001
ENSMUSG00000027959	862.001	752	795	594	789	743	790	604	847
ENSMUSG00000027961	1	2	0	1	3	1	3	2	2
ENSMUSG00000027962	4921	4258	4914	4144	5545	5073	6455	4278.001	6228.999
ENSMUSG00000027963	780.999	725	761	936	1241	1165.999	1447	1026	1527
ENSMUSG00000027965	0	0	0	0	0	0	0	0	0
ENSMUSG00000027966	3433	2925	3359	2048	2770	2542	3084	1876	3041
ENSMUSG00000027967	3	0	0	1	0	1	0	2	0
ENSMUSG00000027968	2158.554	2010.755	2273.715	1804.465	2289.723	2319.452	2183.792	1439.421	2255.845
ENSMUSG00000027971	4	0	2	0	0	1	1	2	1
