Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.065806595924437)	(2.0, 2.2059968170530992)	(3.0, 0.8342766806065433)	(4.0, 0.5102387814724076)	(5.0, 0.4058030593167697)	(6.0, 0.3192015125798948)	(7.0, 0.34172093747307875)	(8.0, 0.2998559663629315)	(9.0, 0.2543637053371037)	('>10', 9.37457964999675)	('>50', 9.498058644209712)	('>100', 37.797570018030655)	('>500', 15.216027785040753)	('>1k', 11.125351582631932)	('>5k', 2.7511482639639326)	('>10k+', 0.0)
C1_D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.495581522237478)	(2.0, 1.61859223623477)	(3.0, 0.8567046442869468)	(4.0, 0.5453962933153036)	(5.0, 0.4268531758768952)	(6.0, 0.33315361108097336)	(7.0, 0.2712606788152168)	(8.0, 0.2466065331816703)	(9.0, 0.20573777740054236)	('>10', 3.4979547366839863)	('>50', 1.8510938831029258)	('>100', 6.315604591390351)	('>500', 4.558920917678765)	('>1k', 19.171510807429588)	('>5k', 11.881425146245803)	('>10k+', 43.72360344503879)
C1_D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.557574090339952)	(2.0, 1.529059735004548)	(3.0, 0.7139266891782399)	(4.0, 0.45027496488381347)	(5.0, 0.3108898466647437)	(6.0, 0.24204383802900672)	(7.0, 0.18890427104002247)	(8.0, 0.15903809722570844)	(9.0, 0.13278006374151605)	('>10', 2.0279631292055953)	('>50', 0.9687859289398468)	('>100', 4.322231236023988)	('>500', 4.212135077081225)	('>1k', 26.54049145831975)	('>5k', 17.4287925939249)	('>10k+', 36.21510898039715)
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.267036869669807)	(2.0, 2.931305517037084)	(3.0, 1.3062790917048939)	(4.0, 0.8414052918368952)	(5.0, 0.6772593152415258)	(6.0, 0.5529596564138204)	(7.0, 0.49698417783879245)	(8.0, 0.4391856613151441)	(9.0, 0.3872800251211785)	('>10', 8.462579349890117)	('>50', 5.800738623004745)	('>100', 24.23869379714588)	('>500', 14.932002908355887)	('>1k', 26.024846196512385)	('>5k', 2.594765849099929)	('>10k+', 1.046677669811914)
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.736786045468762)	(2.0, 2.2518014910403354)	(3.0, 0.8414375747993844)	(4.0, 0.4752962725515712)	(5.0, 0.3766502038129787)	(6.0, 0.2936944133699013)	(7.0, 0.29791949089557357)	(8.0, 0.26133650256353325)	(9.0, 0.23186401055518524)	('>10', 6.807939552585671)	('>50', 7.1972649889756655)	('>100', 34.31855287962272)	('>500', 16.024791598832678)	('>1k', 19.22523629919374)	('>5k', 2.659428675732296)	('>10k+', 0.0)
C2_A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.244168869479123)	(2.0, 1.5963115456053734)	(3.0, 0.8320988916179202)	(4.0, 0.5474281470225087)	(5.0, 0.39198254260441195)	(6.0, 0.3185121119706885)	(7.0, 0.2648707203950373)	(8.0, 0.23813926086451256)	(9.0, 0.2054721724607509)	('>10', 3.2737506860599015)	('>50', 1.5898826725785429)	('>100', 5.455880699153847)	('>500', 3.7465142317639186)	('>1k', 15.481182442829262)	('>5k', 10.913692787793442)	('>10k+', 50.90011221780075)
C2_A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.2703569765360125)	(2.0, 1.5574751742516288)	(3.0, 0.7470434045941687)	(4.0, 0.4521162788177964)	(5.0, 0.3035383757681719)	(6.0, 0.23965283849603786)	(7.0, 0.19358321055283415)	(8.0, 0.1659571202231094)	(9.0, 0.13684877583067104)	('>10', 1.9356951467695738)	('>50', 0.9015299166217029)	('>100', 3.47219584349706)	('>500', 3.022794465514953)	('>1k', 20.00222673398674)	('>5k', 16.028130534418725)	('>10k+', 46.57085520412081)
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 10.732501533505843)	(2.0, 3.0385760879985453)	(3.0, 1.4081639875410386)	(4.0, 0.9160838810424062)	(5.0, 0.688234346132969)	(6.0, 0.5879387136348513)	(7.0, 0.5054001565767128)	(8.0, 0.4543980850046713)	(9.0, 0.4342102182763011)	('>10', 8.79187298807733)	('>50', 6.015299950588947)	('>100', 24.884796331426752)	('>500', 15.132345865460534)	('>1k', 23.465372594508295)	('>5k', 2.944805260224801)	('>10k+', 0.0)
C2_B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 10.035299540885848)	(2.0, 2.364174310147457)	(3.0, 0.8551881661999085)	(4.0, 0.4959029232711147)	(5.0, 0.3822476924133609)	(6.0, 0.2932654427040211)	(7.0, 0.28392287615323253)	(8.0, 0.29440478008826365)	(9.0, 0.27583358072511077)	('>10', 7.079956439421359)	('>50', 7.798764395139955)	('>100', 35.462103952024854)	('>500', 15.123678372173451)	('>1k', 16.653922412949562)	('>5k', 2.6013351157024904)	('>10k+', 0.0)
C2_B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.986643233228376)	(2.0, 1.8157395071994022)	(3.0, 0.9341607034674164)	(4.0, 0.6096189382048557)	(5.0, 0.43615231296852885)	(6.0, 0.358961552368046)	(7.0, 0.3071878435121647)	(8.0, 0.2564988057579921)	(9.0, 0.23877347963770526)	('>10', 3.6270019633949087)	('>50', 1.7037713632495197)	('>100', 5.730738520733386)	('>500', 3.9208504327200187)	('>1k', 16.708100537612523)	('>5k', 10.463811482682246)	('>10k+', 47.90198932326291)
C2_B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 5.030025933934058)	(2.0, 1.756772405996137)	(3.0, 0.819103393638638)	(4.0, 0.48458276953181223)	(5.0, 0.33096863678657557)	(6.0, 0.26998739060851873)	(7.0, 0.21876203977630368)	(8.0, 0.17538745291689462)	(9.0, 0.15499711969079438)	('>10', 2.089531297883067)	('>50', 0.9192233395752585)	('>100', 3.6879472038553955)	('>500', 3.181290615641913)	('>1k', 21.802661570074836)	('>5k', 16.53883021634161)	('>10k+', 42.539928613748195)
C2_C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.762423992480326)	(2.0, 2.969562147633297)	(3.0, 1.3741486316627167)	(4.0, 0.9331995662210195)	(5.0, 0.7048236776899396)	(6.0, 0.562419569651634)	(7.0, 0.5309355224955629)	(8.0, 0.4369604120448658)	(9.0, 0.4035682408187298)	('>10', 8.982136286567455)	('>50', 6.181487182729675)	('>100', 25.422175500983634)	('>500', 14.956711265449465)	('>1k', 23.847257596653805)	('>5k', 2.9321904069178806)	('>10k+', 0.0)
C2_C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.071461836875438)	(2.0, 2.293325011583352)	(3.0, 0.8132763674608459)	(4.0, 0.46595447415155666)	(5.0, 0.3620914114061177)	(6.0, 0.3022986849173443)	(7.0, 0.302656011968074)	(8.0, 0.2553697322548409)	(9.0, 0.26477934459072355)	('>10', 7.395002423868494)	('>50', 8.017347037222759)	('>100', 36.04643822351284)	('>500', 15.437362354642334)	('>1k', 16.238251384344547)	('>5k', 2.734385701200738)	('>10k+', 0.0)
C2_C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.478160371365372)	(2.0, 1.6204053391334)	(3.0, 0.8524212480537258)	(4.0, 0.5530436781594786)	(5.0, 0.41405309256985756)	(6.0, 0.3276396885974664)	(7.0, 0.28417605143413704)	(8.0, 0.2447995738913892)	(9.0, 0.20828509187259214)	('>10', 3.4517277280493612)	('>50', 1.7066483688880303)	('>100', 5.742302232001203)	('>500', 3.970323149269863)	('>1k', 16.883850072353553)	('>5k', 10.916180098105103)	('>10k+', 48.34598421625547)
C2_C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.45205854225843)	(2.0, 1.5528962504562527)	(3.0, 0.7490666760062751)	(4.0, 0.4530891690337801)	(5.0, 0.3169965674753836)	(6.0, 0.2565216874609809)	(7.0, 0.2018388219341119)	(8.0, 0.17497314136145156)	(9.0, 0.14461573958455204)	('>10', 2.0242074350700334)	('>50', 0.9357701024670005)	('>100', 3.746393508877905)	('>500', 3.2748332141457266)	('>1k', 22.38829940708826)	('>5k', 16.949167931500934)	('>10k+', 42.37927180527892)
C2_D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.228584783262384)	(2.0, 2.8152741656542872)	(3.0, 1.3126603180663308)	(4.0, 0.8324981916695025)	(5.0, 0.6429488974047497)	(6.0, 0.5334311390447859)	(7.0, 0.45791451065080374)	(8.0, 0.40478785046297683)	(9.0, 0.34399412733998785)	('>10', 7.404091108740306)	('>50', 5.283410758676465)	('>100', 21.240040882177063)	('>500', 14.62772759668728)	('>1k', 28.486458986187174)	('>5k', 5.398373138761449)	('>10k+', 0.9878035452144613)
C2_D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.770409250841459)	(2.0, 2.2554535497471515)	(3.0, 0.8161510786680491)	(4.0, 0.4928582615468479)	(5.0, 0.3490919531734944)	(6.0, 0.2907916628822236)	(7.0, 0.2394824271370086)	(8.0, 0.21576230170685037)	(9.0, 0.20275622026279483)	('>10', 5.5201326504474935)	('>50', 5.492095395334107)	('>100', 31.116173272422515)	('>500', 17.002416377998113)	('>1k', 23.191249896003317)	('>5k', 2.1848503816071565)	('>10k+', 1.8603253202214096)
C2_D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.199824144664264)	(2.0, 1.6273767081304629)	(3.0, 0.8599188994363632)	(4.0, 0.5605065872483734)	(5.0, 0.4195677171997764)	(6.0, 0.3271711101940596)	(7.0, 0.2748442903816023)	(8.0, 0.231342182696636)	(9.0, 0.21035095682414032)	('>10', 3.2666512840616244)	('>50', 1.5501126871665676)	('>100', 5.039690665227683)	('>500', 3.223722269160013)	('>1k', 14.148183428182795)	('>5k', 9.937022111816923)	('>10k+', 54.123714957608726)
C2_D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.174072226877999)	(2.0, 1.5948617290804938)	(3.0, 0.789444768567579)	(4.0, 0.46308395093280863)	(5.0, 0.32996150743670105)	(6.0, 0.241611039517817)	(7.0, 0.2048503119536654)	(8.0, 0.1780006976824781)	(9.0, 0.14510349852785273)	('>10', 2.025114359432219)	('>50', 0.8714670288922132)	('>100', 2.9915102310320423)	('>500', 2.5377808967708795)	('>1k', 16.251287512078076)	('>5k', 15.222123983867666)	('>10k+', 51.97972625734951)
C3_A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.772158164882384)	(2.0, 2.659944551365556)	(3.0, 1.2349216946876467)	(4.0, 0.8203078725122245)	(5.0, 0.5982199955191186)	(6.0, 0.5166303347887955)	(7.0, 0.4667115806462108)	(8.0, 0.4174165064040388)	(9.0, 0.34972185925169436)	('>10', 7.8180723071988565)	('>50', 5.628609287038003)	('>100', 22.18174364253321)	('>500', 14.913010876127153)	('>1k', 28.878302347509482)	('>5k', 4.744228979535621)	('>10k+', 0.0)
C3_A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.26641389364658)	(2.0, 2.0594378376456266)	(3.0, 0.7731226843472506)	(4.0, 0.44952648004093054)	(5.0, 0.32244898601166594)	(6.0, 0.2720861195937469)	(7.0, 0.2579984313167215)	(8.0, 0.23547385726751602)	(9.0, 0.22161286151423423)	('>10', 5.731358673443734)	('>50', 6.154363649726238)	('>100', 31.01308111000743)	('>500', 16.975561499044172)	('>1k', 22.973377432027466)	('>5k', 2.3284842160130617)	('>10k+', 1.9656522683536275)
C3_A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.9306991517732435)	(2.0, 1.4660868618264675)	(3.0, 0.7761178330306377)	(4.0, 0.49886291464324134)	(5.0, 0.3763447832594772)	(6.0, 0.2916111580084553)	(7.0, 0.2452521114548117)	(8.0, 0.21747716530741676)	(9.0, 0.1934554456111106)	('>10', 3.075893792894754)	('>50', 1.5134363228584673)	('>100', 5.131932039758491)	('>500', 3.3457266955548985)	('>1k', 14.80799279661393)	('>5k', 10.676965780640277)	('>10k+', 53.45214514676433)
C3_A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.8876350927815793)	(2.0, 1.410128940219388)	(3.0, 0.6884627945585616)	(4.0, 0.41730257198798687)	(5.0, 0.28496396565571064)	(6.0, 0.216714119774067)	(7.0, 0.18167558863697203)	(8.0, 0.15244020813548345)	(9.0, 0.13675880657498618)	('>10', 1.8656441321927637)	('>50', 0.8338359588756761)	('>100', 3.095140472140533)	('>500', 2.651371810293792)	('>1k', 17.252253568737817)	('>5k', 15.148204441622685)	('>10k+', 51.77746752781199)
C3_B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 10.346263211098158)	(2.0, 2.988056301028397)	(3.0, 1.3926081007046482)	(4.0, 0.8524218935131294)	(5.0, 0.7257541968635153)	(6.0, 0.5960678350594438)	(7.0, 0.5122950863237716)	(8.0, 0.4303921101403473)	(9.0, 0.4160533538057142)	('>10', 8.567578975019297)	('>50', 6.114619251340941)	('>100', 24.28400301828395)	('>500', 15.087583545452985)	('>1k', 24.04907683449732)	('>5k', 3.637226286868372)	('>10k+', 0.0)
C3_B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.108934400684989)	(2.0, 2.3379220872727795)	(3.0, 0.8660229920337066)	(4.0, 0.49247366253948616)	(5.0, 0.37500046618142246)	(6.0, 0.30807730606289163)	(7.0, 0.304500378539315)	(8.0, 0.2603080159093197)	(9.0, 0.24715415340326366)	('>10', 7.427547695086316)	('>50', 7.635701800006711)	('>100', 35.37696705576126)	('>500', 15.403288379350458)	('>1k', 17.11213665754949)	('>5k', 2.7439649496185865)	('>10k+', 0.0)
C3_B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.883367341887881)	(2.0, 1.7538750097449929)	(3.0, 0.9147228025075776)	(4.0, 0.5867874514407633)	(5.0, 0.43077270994462136)	(6.0, 0.3490268358402829)	(7.0, 0.29838404794882234)	(8.0, 0.24190754353809363)	(9.0, 0.23361157603380475)	('>10', 3.583915264312434)	('>50', 1.6718162139762374)	('>100', 5.723630040717934)	('>500', 3.950267386250102)	('>1k', 16.75658050862928)	('>5k', 10.938327616332165)	('>10k+', 47.68300765089502)
C3_B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.932897741531969)	(2.0, 1.691897829573367)	(3.0, 0.7949949077994392)	(4.0, 0.4733493399580397)	(5.0, 0.3357805342921225)	(6.0, 0.26347201569716366)	(7.0, 0.21143738532301143)	(8.0, 0.18049333891938432)	(9.0, 0.143162983511836)	('>10', 2.0270677725488175)	('>50', 0.9109953222180639)	('>100', 3.816777393868582)	('>500', 3.3673865998978614)	('>1k', 22.34540630268798)	('>5k', 16.688173560383188)	('>10k+', 41.816706971789166)
C3_C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.586377128007511)	(2.0, 2.898167424133624)	(3.0, 1.3170140011326397)	(4.0, 0.8432987884416869)	(5.0, 0.6144277882118483)	(6.0, 0.5518282035727232)	(7.0, 0.5122344843414668)	(8.0, 0.4539324589188384)	(9.0, 0.38300551221276985)	('>10', 8.329170765989188)	('>50', 5.8340730393465)	('>100', 23.66786287659178)	('>500', 14.506040372221566)	('>1k', 25.78383311112937)	('>5k', 4.718734045748482)	('>10k+', 0.0)
C3_C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.090880000434879)	(2.0, 2.2406630319453975)	(3.0, 0.8226213915358839)	(4.0, 0.4673679867144791)	(5.0, 0.35299005203407424)	(6.0, 0.3323697423450106)	(7.0, 0.27350622444044614)	(8.0, 0.24320732527639818)	(9.0, 0.24606378715044985)	('>10', 6.716460014354962)	('>50', 6.869076691625721)	('>100', 33.57209842222462)	('>500', 16.046990709449197)	('>1k', 19.480457882059287)	('>5k', 2.136939531277145)	('>10k+', 1.1083072071320428)
C3_C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.234060704929967)	(2.0, 1.6346234802970077)	(3.0, 0.8523897254156119)	(4.0, 0.5497121968073648)	(5.0, 0.40858404963770945)	(6.0, 0.3243015827460104)	(7.0, 0.27105330433509106)	(8.0, 0.2289488139530946)	(9.0, 0.19866794326761716)	('>10', 3.229966097450289)	('>50', 1.576693696993677)	('>100', 5.282668067085215)	('>500', 3.618566555517191)	('>1k', 15.394353476499628)	('>5k', 10.45278716201826)	('>10k+', 51.742623143046295)
C3_C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.345136003083893)	(2.0, 1.6123555095846829)	(3.0, 0.7670140077494719)	(4.0, 0.45658514478881806)	(5.0, 0.3206760241803357)	(6.0, 0.24775776742451744)	(7.0, 0.20661911576841896)	(8.0, 0.1669454006955919)	(9.0, 0.15010047462853124)	('>10', 1.9872169989520163)	('>50', 0.8722258763025527)	('>100', 3.4209193579138564)	('>500', 2.9387545573836706)	('>1k', 18.91813079510894)	('>5k', 15.806385905382287)	('>10k+', 47.78317706105242)
C3_D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.356714850899262)	(2.0, 2.787372369532897)	(3.0, 1.2562472196886558)	(4.0, 0.7717927841846557)	(5.0, 0.6183856495340212)	(6.0, 0.5080825691737949)	(7.0, 0.44088684870894457)	(8.0, 0.4054988532316197)	(9.0, 0.36705143820964425)	('>10', 7.096867601477576)	('>50', 5.09032170345424)	('>100', 20.056740093303652)	('>500', 13.376348900426107)	('>1k', 30.317858096699474)	('>5k', 5.093392162770084)	('>10k+', 2.456438858705365)
C3_D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.889557618649272)	(2.0, 2.1502265711251694)	(3.0, 0.8005795836332417)	(4.0, 0.4385277137346104)	(5.0, 0.3208111074112066)	(6.0, 0.28405057176716864)	(7.0, 0.21612810612648536)	(8.0, 0.2180973044601132)	(9.0, 0.1931051970935359)	('>10', 5.213591942296731)	('>50', 4.989273038153506)	('>100', 28.827292204281)	('>500', 17.035153993990043)	('>1k', 25.6448190879878)	('>5k', 2.161853873502824)	('>10k+', 2.6169320857872926)
C3_D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.121312087821276)	(2.0, 1.6139780655772287)	(3.0, 0.8516781367761498)	(4.0, 0.5660554924392491)	(5.0, 0.4173222936261909)	(6.0, 0.3235703948195402)	(7.0, 0.27262178130806325)	(8.0, 0.23958312215801447)	(9.0, 0.20071589582899932)	('>10', 3.1747877013854127)	('>50', 1.503195469497106)	('>100', 4.861314884539459)	('>500', 3.0933721189519394)	('>1k', 13.112789267614456)	('>5k', 9.89665450447143)	('>10k+', 55.751048783185475)
C3_D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.234227775875474)	(2.0, 1.5828630566120179)	(3.0, 0.7802399453519829)	(4.0, 0.4644134620475508)	(5.0, 0.32335209842604784)	(6.0, 0.26073714276950066)	(7.0, 0.20346418421288937)	(8.0, 0.1739170118563834)	(9.0, 0.15716730829610698)	('>10', 1.9699434210565758)	('>50', 0.8087623465231107)	('>100', 2.843012440481912)	('>500', 2.3842559784135227)	('>1k', 14.883222265046788)	('>5k', 14.587211907440803)	('>10k+', 54.34320965558934)
ch_1A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.173099883905756)	(2.0, 2.5454903989864803)	(3.0, 1.2354412446572138)	(4.0, 0.8416065866934892)	(5.0, 0.684535986724293)	(6.0, 0.5216212319773994)	(7.0, 0.4386563806323336)	(8.0, 0.4068526402450918)	(9.0, 0.38072704794416157)	('>10', 7.897366765927466)	('>50', 5.613934214643312)	('>100', 22.497667969348054)	('>500', 15.697762027335822)	('>1k', 27.736081659779778)	('>5k', 4.277810061772605)	('>10k+', 1.0513458994267593)
ch_1A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 7.765592078082893)	(2.0, 1.9676445770383029)	(3.0, 0.768328849081065)	(4.0, 0.46520777744516295)	(5.0, 0.36645151266110254)	(6.0, 0.285358440277543)	(7.0, 0.25359002016851967)	(8.0, 0.22888124897261258)	(9.0, 0.18726647643213756)	('>10', 6.234320221102636)	('>50', 6.185460019414489)	('>100', 32.94886771939021)	('>500', 16.893182508383635)	('>1k', 20.908357827718525)	('>5k', 3.345530463878902)	('>10k+', 1.1959602599522674)
