Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ch_1A_CKDL260002520-1A_2372W3LT4_L5_2	ch_1A_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1076900.0	161.5 Mbp	0.0	150.0	61.0	9.870427382465852	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_1A_CKDL260002520-1A_23757VLT4_L4_1	ch_1A_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27601841.0	4.1 Gbp	0.0	150.0	60.0	5.08241105063572	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	ch_1A_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27601841.0	4.1 Gbp	0.0	150.0	60.0	4.828858306871866	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	ch_1B_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1036448.0	155.4 Mbp	0.0	150.0	60.0	11.588474974896474	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	ch_1B_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1036448.0	155.4 Mbp	0.0	150.0	59.0	11.093735426805473	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	ch_1B_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30971354.0	4.6 Gbp	0.0	150.0	59.0	4.833370517181092	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	ch_1B_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30971354.0	4.6 Gbp	0.0	150.0	58.0	5.102294908437922	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	ch_1C_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	883009.0	132.4 Mbp	0.0	150.0	61.0	10.622881533483804	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	ch_1C_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	883009.0	132.4 Mbp	0.0	150.0	61.0	9.470684896756431	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	ch_1C_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23318224.0	3.4 Gbp	0.0	150.0	61.0	4.737822773573685	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	ch_1C_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23318224.0	3.4 Gbp	0.0	150.0	60.0	4.5394602012397245	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	ch_1D_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	781602.0	117.2 Mbp	0.0	150.0	61.0	10.723488425055207	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	ch_1D_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	781602.0	117.2 Mbp	0.0	150.0	61.0	9.35207432939015	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	ch_1D_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20822103.0	3.1 Gbp	0.0	150.0	61.0	4.710419633771427	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	ch_1D_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20822103.0	3.1 Gbp	0.0	150.0	60.0	4.420372075873398	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	ch_2A_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	854884.0	128.2 Mbp	0.0	150.0	61.0	11.79091631870475	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	ch_2A_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	854884.0	128.2 Mbp	0.0	150.0	61.0	11.173679703913047	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	ch_2A_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21433079.0	3.2 Gbp	0.0	150.0	60.0	5.959283158599327	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	ch_2A_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21433079.0	3.2 Gbp	0.0	150.0	60.0	5.727397382632101	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	ch_2B_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	746584.0	111.9 Mbp	0.0	150.0	60.0	10.34726166111248	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	ch_2B_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	746584.0	111.9 Mbp	0.0	150.0	61.0	10.060756726637592	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	ch_2B_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19393747.0	2.9 Gbp	0.0	150.0	60.0	4.727357682605258	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	ch_2B_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19393747.0	2.9 Gbp	0.0	150.0	60.0	4.995066979764427	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ch_2C_CKDL260002520-1A_2372W3LT4_L5_1	ch_2C_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1144956.0	171.7 Mbp	0.0	150.0	61.0	12.023180026815474	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
ch_2C_CKDL260002520-1A_2372W3LT4_L5_2	ch_2C_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1144956.0	171.7 Mbp	0.0	150.0	61.0	10.718168308749092	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_2C_CKDL260002520-1A_23757VLT4_L4_1	ch_2C_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30115063.0	4.5 Gbp	0.0	150.0	61.0	5.66567917206379	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_2C_CKDL260002520-1A_23757VLT4_L4_2	ch_2C_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30115063.0	4.5 Gbp	0.0	150.0	60.0	5.454773456405553	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_2D_CKDL260002520-1A_2372W3LT4_L5_1	ch_2D_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	851235.0	127.6 Mbp	0.0	150.0	61.0	11.813399787761378	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
ch_2D_CKDL260002520-1A_2372W3LT4_L5_2	ch_2D_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	851235.0	127.6 Mbp	0.0	150.0	61.0	10.616339788660007	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_2D_CKDL260002520-1A_23757VLT4_L4_1	ch_2D_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21355253.0	3.2 Gbp	0.0	150.0	61.0	5.854901307113953	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	ch_2D_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21355253.0	3.2 Gbp	0.0	150.0	60.0	5.449012489341355	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	ch_3A_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1045533.0	156.8 Mbp	0.0	150.0	60.0	13.516189968842346	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	ch_3A_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1045533.0	156.8 Mbp	0.0	150.0	60.0	12.30847897645156	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	ch_3A_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27140171.0	4 Gbp	0.0	150.0	60.0	6.732948254928727	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_3A_CKDL260002520-1A_23757VLT4_L4_2	ch_3A_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27140171.0	4 Gbp	0.0	150.0	60.0	6.628773906663023	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3B_CKDL260002520-1A_2372W3LT4_L5_1	ch_3B_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1549981.0	232.4 Mbp	0.0	150.0	60.0	11.647640526816808	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
