Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
D3_2	(10.0, 3.0)	(11.0, 37.0)	(12.0, 298.0)	(13.0, 1765.0)	(14.0, 6793.0)	(15.0, 11961.0)	(16.0, 13932.0)	(17.0, 13943.0)	(18.0, 14094.0)	(19.0, 15388.0)	(20.0, 17212.0)	(21.0, 18689.0)	(22.0, 21097.0)	(23.0, 24352.0)	(24.0, 27342.0)	(25.0, 32453.0)	(26.0, 36930.0)	(27.0, 42393.0)	(28.0, 51413.0)	(29.0, 59594.0)	(30.0, 74626.0)	(31.0, 91218.0)	(32.0, 120787.0)	(33.0, 159683.0)	(34.0, 224588.0)	(35.0, 337171.0)	(36.0, 553687.0)	(37.0, 1056217.0)	(38.0, 2603220.0)	(39.0, 25935523.0)	(40.0, 14193650.0)	
D3_2_val_2	(11.0, 12.0)	(12.0, 106.0)	(13.0, 684.0)	(14.0, 2825.0)	(15.0, 5618.0)	(16.0, 7449.0)	(17.0, 8204.0)	(18.0, 9006.0)	(19.0, 10421.0)	(20.0, 12308.0)	(21.0, 14372.0)	(22.0, 17087.0)	(23.0, 20630.0)	(24.0, 23857.0)	(25.0, 28705.0)	(26.0, 32838.0)	(27.0, 38091.0)	(28.0, 45151.0)	(29.0, 52053.0)	(30.0, 61940.0)	(31.0, 73918.0)	(32.0, 92559.0)	(33.0, 118442.0)	(34.0, 157491.0)	(35.0, 234659.0)	(36.0, 376905.0)	(37.0, 774054.0)	(38.0, 1979019.0)	(39.0, 25358792.0)	(40.0, 16166953.0)		
D4_1	(13.0, 20.0)	(14.0, 214.0)	(15.0, 791.0)	(16.0, 1497.0)	(17.0, 2630.0)	(18.0, 4354.0)	(19.0, 6408.0)	(20.0, 8926.0)	(21.0, 11131.0)	(22.0, 14077.0)	(23.0, 17493.0)	(24.0, 20822.0)	(25.0, 26142.0)	(26.0, 31924.0)	(27.0, 38071.0)	(28.0, 46898.0)	(29.0, 54549.0)	(30.0, 68510.0)	(31.0, 86901.0)	(32.0, 131953.0)	(33.0, 200025.0)	(34.0, 260507.0)	(35.0, 344574.0)	(36.0, 510056.0)	(37.0, 875599.0)	(38.0, 1874066.0)	(39.0, 18937712.0)	(40.0, 10556008.0)				
D4_1_val_1	(13.0, 2.0)	(14.0, 48.0)	(15.0, 214.0)	(16.0, 514.0)	(17.0, 1040.0)	(18.0, 2046.0)	(19.0, 3310.0)	(20.0, 5092.0)	(21.0, 6962.0)	(22.0, 9489.0)	(23.0, 12963.0)	(24.0, 16796.0)	(25.0, 22264.0)	(26.0, 27938.0)	(27.0, 34762.0)	(28.0, 42162.0)	(29.0, 49822.0)	(30.0, 60479.0)	(31.0, 72448.0)	(32.0, 89633.0)	(33.0, 115550.0)	(34.0, 152417.0)	(35.0, 234841.0)	(36.0, 373471.0)	(37.0, 734963.0)	(38.0, 1715509.0)	(39.0, 18778978.0)	(40.0, 11536300.0)				
D4_2	(10.0, 5.0)	(11.0, 35.0)	(12.0, 292.0)	(13.0, 1675.0)	(14.0, 5508.0)	(15.0, 10187.0)	(16.0, 12087.0)	(17.0, 12807.0)	(18.0, 13237.0)	(19.0, 14632.0)	(20.0, 16359.0)	(21.0, 18481.0)	(22.0, 20791.0)	(23.0, 24062.0)	(24.0, 27002.0)	(25.0, 32065.0)	(26.0, 36356.0)	(27.0, 41641.0)	(28.0, 49945.0)	(29.0, 56875.0)	(30.0, 70136.0)	(31.0, 83689.0)	(32.0, 107407.0)	(33.0, 136714.0)	(34.0, 183596.0)	(35.0, 268255.0)	(36.0, 434534.0)	(37.0, 856498.0)	(38.0, 2171665.0)	(39.0, 20088725.0)	(40.0, 9336597.0)	
D4_2_val_2	(10.0, 3.0)	(11.0, 21.0)	(12.0, 96.0)	(13.0, 706.0)	(14.0, 2303.0)	(15.0, 4807.0)	(16.0, 6505.0)	(17.0, 7507.0)	(18.0, 8398.0)	(19.0, 9773.0)	(20.0, 11761.0)	(21.0, 14170.0)	(22.0, 16743.0)	(23.0, 20326.0)	(24.0, 23759.0)	(25.0, 28590.0)	(26.0, 32367.0)	(27.0, 37494.0)	(28.0, 42852.0)	(29.0, 49570.0)	(30.0, 58197.0)	(31.0, 68124.0)	(32.0, 84577.0)	(33.0, 106748.0)	(34.0, 139090.0)	(35.0, 204218.0)	(36.0, 322197.0)	(37.0, 653666.0)	(38.0, 1653893.0)	(39.0, 19661534.0)	(40.0, 10830018.0)	
D5_1	(13.0, 28.0)	(14.0, 287.0)	(15.0, 1114.0)	(16.0, 2158.0)	(17.0, 3530.0)	(18.0, 5605.0)	(19.0, 8417.0)	(20.0, 11659.0)	(21.0, 14747.0)	(22.0, 18692.0)	(23.0, 23456.0)	(24.0, 27903.0)	(25.0, 35488.0)	(26.0, 43273.0)	(27.0, 51631.0)	(28.0, 63744.0)	(29.0, 73698.0)	(30.0, 90992.0)	(31.0, 112140.0)	(32.0, 158371.0)	(33.0, 239191.0)	(34.0, 325195.0)	(35.0, 442338.0)	(36.0, 658623.0)	(37.0, 1155983.0)	(38.0, 2447963.0)	(39.0, 25738183.0)	(40.0, 14670473.0)				
D5_1_val_1	(13.0, 2.0)	(14.0, 41.0)	(15.0, 293.0)	(16.0, 718.0)	(17.0, 1410.0)	(18.0, 2617.0)	(19.0, 4306.0)	(20.0, 6434.0)	(21.0, 9172.0)	(22.0, 12523.0)	(23.0, 17119.0)	(24.0, 22380.0)	(25.0, 30150.0)	(26.0, 38033.0)	(27.0, 47106.0)	(28.0, 57810.0)	(29.0, 67875.0)	(30.0, 82279.0)	(31.0, 99638.0)	(32.0, 122803.0)	(33.0, 158915.0)	(34.0, 208512.0)	(35.0, 318564.0)	(36.0, 502915.0)	(37.0, 985477.0)	(38.0, 2268388.0)	(39.0, 25813560.0)	(40.0, 15503294.0)				
D5_2	(10.0, 7.0)	(11.0, 55.0)	(12.0, 366.0)	(13.0, 2384.0)	(14.0, 8334.0)	(15.0, 15467.0)	(16.0, 19040.0)	(17.0, 19671.0)	(18.0, 20270.0)	(19.0, 22158.0)	(20.0, 24934.0)	(21.0, 27382.0)	(22.0, 31135.0)	(23.0, 35680.0)	(24.0, 39974.0)	(25.0, 46510.0)	(26.0, 53171.0)	(27.0, 60310.0)	(28.0, 70944.0)	(29.0, 80809.0)	(30.0, 98221.0)	(31.0, 115143.0)	(32.0, 143691.0)	(33.0, 182293.0)	(34.0, 243468.0)	(35.0, 357374.0)	(36.0, 568010.0)	(37.0, 1132278.0)	(38.0, 2891258.0)	(39.0, 27654830.0)	(40.0, 12459715.0)	
D5_2_val_2	(10.0, 4.0)	(11.0, 22.0)	(12.0, 144.0)	(13.0, 920.0)	(14.0, 3470.0)	(15.0, 7330.0)	(16.0, 10136.0)	(17.0, 11639.0)	(18.0, 12882.0)	(19.0, 14846.0)	(20.0, 18126.0)	(21.0, 21435.0)	(22.0, 25327.0)	(23.0, 30657.0)	(24.0, 35476.0)	(25.0, 42187.0)	(26.0, 48712.0)	(27.0, 55689.0)	(28.0, 63863.0)	(29.0, 73570.0)	(30.0, 86933.0)	(31.0, 101750.0)	(32.0, 123994.0)	(33.0, 155723.0)	(34.0, 204753.0)	(35.0, 299387.0)	(36.0, 470003.0)	(37.0, 938834.0)	(38.0, 2322089.0)	(39.0, 26775861.0)	(40.0, 14426572.0)	
D6_1	(12.0, 1.0)	(13.0, 34.0)	(14.0, 318.0)	(15.0, 1169.0)	(16.0, 2294.0)	(17.0, 3889.0)	(18.0, 6303.0)	(19.0, 9433.0)	(20.0, 13148.0)	(21.0, 16083.0)	(22.0, 20465.0)	(23.0, 25738.0)	(24.0, 31014.0)	(25.0, 38627.0)	(26.0, 47161.0)	(27.0, 55524.0)	(28.0, 67934.0)	(29.0, 77906.0)	(30.0, 95686.0)	(31.0, 113711.0)	(32.0, 145171.0)	(33.0, 212042.0)	(34.0, 317369.0)	(35.0, 453365.0)	(36.0, 667635.0)	(37.0, 1157625.0)	(38.0, 2443476.0)	(39.0, 23541182.0)	(40.0, 15614144.0)			
D6_1_val_1	(12.0, 2.0)	(13.0, 3.0)	(14.0, 72.0)	(15.0, 326.0)	(16.0, 773.0)	(17.0, 1657.0)	(18.0, 3040.0)	(19.0, 4859.0)	(20.0, 7448.0)	(21.0, 10054.0)	(22.0, 13938.0)	(23.0, 19445.0)	(24.0, 25393.0)	(25.0, 33313.0)	(26.0, 42725.0)	(27.0, 51348.0)	(28.0, 62485.0)	(29.0, 72998.0)	(30.0, 87991.0)	(31.0, 104889.0)	(32.0, 127540.0)	(33.0, 164383.0)	(34.0, 215674.0)	(35.0, 321063.0)	(36.0, 503532.0)	(37.0, 960553.0)	(38.0, 2169153.0)	(39.0, 23485069.0)	(40.0, 16653372.0)			
D6_2	(10.0, 1.0)	(11.0, 28.0)	(12.0, 231.0)	(13.0, 1709.0)	(14.0, 7037.0)	(15.0, 12881.0)	(16.0, 15299.0)	(17.0, 15620.0)	(18.0, 16178.0)	(19.0, 17524.0)	(20.0, 20182.0)	(21.0, 22368.0)	(22.0, 25762.0)	(23.0, 29605.0)	(24.0, 33429.0)	(25.0, 39573.0)	(26.0, 45305.0)	(27.0, 52007.0)	(28.0, 61797.0)	(29.0, 70735.0)	(30.0, 87153.0)	(31.0, 104608.0)	(32.0, 133711.0)	(33.0, 173236.0)	(34.0, 241729.0)	(35.0, 359961.0)	(36.0, 593914.0)	(37.0, 1184300.0)	(38.0, 3062158.0)	(39.0, 25690268.0)	(40.0, 13060138.0)	
D6_2_val_2	(9.0, 1.0)	(10.0, 0.0)	(11.0, 10.0)	(12.0, 93.0)	(13.0, 670.0)	(14.0, 2817.0)	(15.0, 5855.0)	(16.0, 7962.0)	(17.0, 9150.0)	(18.0, 10289.0)	(19.0, 11560.0)	(20.0, 14272.0)	(21.0, 17114.0)	(22.0, 20512.0)	(23.0, 24819.0)	(24.0, 29071.0)	(25.0, 34764.0)	(26.0, 40242.0)	(27.0, 46649.0)	(28.0, 53529.0)	(29.0, 61696.0)	(30.0, 73596.0)	(31.0, 86706.0)	(32.0, 106891.0)	(33.0, 136018.0)	(34.0, 181822.0)	(35.0, 269226.0)	(36.0, 430095.0)	(37.0, 855984.0)	(38.0, 2098767.0)	(39.0, 24702892.0)	(40.0, 15810026.0)
D7_1	(13.0, 26.0)	(14.0, 368.0)	(15.0, 1249.0)	(16.0, 2580.0)	(17.0, 4296.0)	(18.0, 6791.0)	(19.0, 9709.0)	(20.0, 13429.0)	(21.0, 16953.0)	(22.0, 21029.0)	(23.0, 26103.0)	(24.0, 31533.0)	(25.0, 39326.0)	(26.0, 47442.0)	(27.0, 56559.0)	(28.0, 69214.0)	(29.0, 79692.0)	(30.0, 98141.0)	(31.0, 120659.0)	(32.0, 170070.0)	(33.0, 261740.0)	(34.0, 351178.0)	(35.0, 457058.0)	(36.0, 664811.0)	(37.0, 1143860.0)	(38.0, 2426700.0)	(39.0, 25046155.0)	(40.0, 15257522.0)				
D7_1_val_1	(13.0, 4.0)	(14.0, 93.0)	(15.0, 299.0)	(16.0, 934.0)	(17.0, 1764.0)	(18.0, 3217.0)	(19.0, 5090.0)	(20.0, 7642.0)	(21.0, 10808.0)	(22.0, 14395.0)	(23.0, 19630.0)	(24.0, 25633.0)	(25.0, 33842.0)	(26.0, 42114.0)	(27.0, 52214.0)	(28.0, 62719.0)	(29.0, 73702.0)	(30.0, 88671.0)	(31.0, 105764.0)	(32.0, 129782.0)	(33.0, 165942.0)	(34.0, 215291.0)	(35.0, 325362.0)	(36.0, 508175.0)	(37.0, 986531.0)	(38.0, 2251117.0)	(39.0, 25154396.0)	(40.0, 16087648.0)				
D7_2	(10.0, 2.0)	(11.0, 39.0)	(12.0, 316.0)	(13.0, 2169.0)	(14.0, 8375.0)	(15.0, 15970.0)	(16.0, 19789.0)	(17.0, 19866.0)	(18.0, 20349.0)	(19.0, 21868.0)	(20.0, 24883.0)	(21.0, 26731.0)	(22.0, 30549.0)	(23.0, 34903.0)	(24.0, 39494.0)	(25.0, 46225.0)	(26.0, 52289.0)	(27.0, 60309.0)	(28.0, 70681.0)	(29.0, 80316.0)	(30.0, 97979.0)	(31.0, 114473.0)	(32.0, 145108.0)	(33.0, 184204.0)	(34.0, 246614.0)	(35.0, 360732.0)	(36.0, 575339.0)	(37.0, 1138833.0)	(38.0, 2866481.0)	(39.0, 26812747.0)	(40.0, 13306560.0)	
D7_2_val_2	(10.0, 3.0)	(11.0, 17.0)	(12.0, 118.0)	(13.0, 823.0)	(14.0, 3465.0)	(15.0, 7356.0)	(16.0, 10654.0)	(17.0, 11796.0)	(18.0, 13076.0)	(19.0, 14814.0)	(20.0, 17986.0)	(21.0, 21022.0)	(22.0, 25056.0)	(23.0, 30143.0)	(24.0, 35207.0)	(25.0, 41841.0)	(26.0, 47453.0)	(27.0, 54961.0)	(28.0, 62980.0)	(29.0, 72075.0)	(30.0, 85070.0)	(31.0, 99312.0)	(32.0, 122700.0)	(33.0, 155422.0)	(34.0, 203063.0)	(35.0, 297911.0)	(36.0, 468831.0)	(37.0, 931279.0)	(38.0, 2288920.0)	(39.0, 26134752.0)	(40.0, 15114673.0)	
D8_1	(12.0, 2.0)	(13.0, 20.0)	(14.0, 162.0)	(15.0, 682.0)	(16.0, 1328.0)	(17.0, 2236.0)	(18.0, 3748.0)	(19.0, 5640.0)	(20.0, 7956.0)	(21.0, 10046.0)	(22.0, 12482.0)	(23.0, 15880.0)	(24.0, 19156.0)	(25.0, 24126.0)	(26.0, 29552.0)	(27.0, 35850.0)	(28.0, 43274.0)	(29.0, 51494.0)	(30.0, 64998.0)	(31.0, 78724.0)	(32.0, 107728.0)	(33.0, 159102.0)	(34.0, 238832.0)	(35.0, 325642.0)	(36.0, 479914.0)	(37.0, 869156.0)	(38.0, 2012166.0)	(39.0, 18671884.0)	(40.0, 7992358.0)			
D8_1_val_1	(13.0, 4.0)	(14.0, 36.0)	(15.0, 202.0)	(16.0, 392.0)	(17.0, 930.0)	(18.0, 1870.0)	(19.0, 2868.0)	(20.0, 4484.0)	(21.0, 6310.0)	(22.0, 8376.0)	(23.0, 11658.0)	(24.0, 15260.0)	(25.0, 20208.0)	(26.0, 25776.0)	(27.0, 32884.0)	(28.0, 38672.0)	(29.0, 47172.0)	(30.0, 58420.0)	(31.0, 69238.0)	(32.0, 87548.0)	(33.0, 114624.0)	(34.0, 152702.0)	(35.0, 234466.0)	(36.0, 376824.0)	(37.0, 763564.0)	(38.0, 1882656.0)	(39.0, 18767516.0)	(40.0, 8508112.0)				
D8_2	(11.0, 6.0)	(12.0, 178.0)	(13.0, 1340.0)	(14.0, 5130.0)	(15.0, 9492.0)	(16.0, 11932.0)	(17.0, 11972.0)	(18.0, 12256.0)	(19.0, 13574.0)	(20.0, 15318.0)	(21.0, 16526.0)	(22.0, 19196.0)	(23.0, 22488.0)	(24.0, 25268.0)	(25.0, 29708.0)	(26.0, 34462.0)	(27.0, 40024.0)	(28.0, 47420.0)	(29.0, 54910.0)	(30.0, 67316.0)	(31.0, 79732.0)	(32.0, 102004.0)	(33.0, 129852.0)	(34.0, 178980.0)	(35.0, 265906.0)	(36.0, 434488.0)	(37.0, 894138.0)	(38.0, 2398718.0)	(39.0, 20109406.0)	(40.0, 6232398.0)		
D8_2_val_2	(12.0, 78.0)	(13.0, 544.0)	(14.0, 2226.0)	(15.0, 4736.0)	(16.0, 6638.0)	(17.0, 7308.0)	(18.0, 8116.0)	(19.0, 9082.0)	(20.0, 11302.0)	(21.0, 13122.0)	(22.0, 15644.0)	(23.0, 19076.0)	(24.0, 22352.0)	(25.0, 26370.0)	(26.0, 31138.0)	(27.0, 35424.0)	(28.0, 41382.0)	(29.0, 47654.0)	(30.0, 56644.0)	(31.0, 67618.0)	(32.0, 84286.0)	(33.0, 107684.0)	(34.0, 144420.0)	(35.0, 218566.0)	(36.0, 353246.0)	(37.0, 745440.0)	(38.0, 1998076.0)	(39.0, 19926394.0)	(40.0, 7228206.0)			
D9_1	(13.0, 32.0)	(14.0, 250.0)	(15.0, 933.0)	(16.0, 2070.0)	(17.0, 3605.0)	(18.0, 5905.0)	(19.0, 8917.0)	(20.0, 12304.0)	(21.0, 15506.0)	(22.0, 19228.0)	(23.0, 24455.0)	(24.0, 29440.0)	(25.0, 36551.0)	(26.0, 45130.0)	(27.0, 53258.0)	(28.0, 65537.0)	(29.0, 76256.0)	(30.0, 95504.0)	(31.0, 124223.0)	(32.0, 205002.0)	(33.0, 284849.0)	(34.0, 354686.0)	(35.0, 444921.0)	(36.0, 630237.0)	(37.0, 1082852.0)	(38.0, 2274474.0)	(39.0, 24689189.0)	(40.0, 15334257.0)				
D9_1_val_1	(13.0, 3.0)	(14.0, 63.0)	(15.0, 269.0)	(16.0, 726.0)	(17.0, 1561.0)	(18.0, 2822.0)	(19.0, 4636.0)	(20.0, 7057.0)	(21.0, 9855.0)	(22.0, 13149.0)	(23.0, 18281.0)	(24.0, 23507.0)	(25.0, 31368.0)	(26.0, 39768.0)	(27.0, 48440.0)	(28.0, 58982.0)	(29.0, 68726.0)	(30.0, 82975.0)	(31.0, 98800.0)	(32.0, 120557.0)	(33.0, 154925.0)	(34.0, 201077.0)	(35.0, 303870.0)	(36.0, 476753.0)	(37.0, 927827.0)	(38.0, 2121281.0)	(39.0, 24723293.0)	(40.0, 16323385.0)				
D9_2	(10.0, 8.0)	(11.0, 40.0)	(12.0, 350.0)	(13.0, 2115.0)	(14.0, 8148.0)	(15.0, 14931.0)	(16.0, 17810.0)	(17.0, 17919.0)	(18.0, 18049.0)	(19.0, 19572.0)	(20.0, 22519.0)	(21.0, 24843.0)	(22.0, 28201.0)	(23.0, 32147.0)	(24.0, 36430.0)	(25.0, 43124.0)	(26.0, 48969.0)	(27.0, 56760.0)	(28.0, 67215.0)	(29.0, 76397.0)	(30.0, 95303.0)	(31.0, 113094.0)	(32.0, 145707.0)	(33.0, 185775.0)	(34.0, 251750.0)	(35.0, 370938.0)	(36.0, 601580.0)	(37.0, 1165007.0)	(38.0, 2841477.0)	(39.0, 26455563.0)	(40.0, 13157830.0)	
D9_2_val_2	(10.0, 2.0)	(11.0, 20.0)	(12.0, 134.0)	(13.0, 804.0)	(14.0, 3315.0)	(15.0, 6875.0)	(16.0, 9275.0)	(17.0, 10444.0)	(18.0, 11362.0)	(19.0, 13116.0)	(20.0, 16198.0)	(21.0, 19317.0)	(22.0, 22871.0)	(23.0, 27448.0)	(24.0, 32154.0)	(25.0, 38498.0)	(26.0, 43722.0)	(27.0, 50945.0)	(28.0, 58301.0)	(29.0, 66301.0)	(30.0, 79099.0)	(31.0, 92484.0)	(32.0, 114566.0)	(33.0, 145780.0)	(34.0, 191747.0)	(35.0, 282269.0)	(36.0, 444416.0)	(37.0, 885945.0)	(38.0, 2190414.0)	(39.0, 25901761.0)	(40.0, 15104373.0)	
