Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
D3_2	(1, 0.02782120538786893)	(2, 0.022598310024032092)	(3, 0.0005616251500025382)	(4, 9.833903404713705e-05)	(5, 0.0)	(6, 4.1520925486568975e-05)	(7, 0.0013833024122630612)	(8, 1.5297183073999095e-05)	(9, 0.0)	(10, 0.000489509858367971)	(15, 0.0022504341613720385)	(20, 0.0006503488118317329)	(25, 0.0002613632993786131)	(30, 0.0003924820114414625)	(35, 0.0001551571426077051)	(40, 0.00023164305797770057)	(45, 0.0035157297327785353)	(50, 0.00039597851042980515)	(55, 0.00028714997941764014)	(60, 0.0004357511864222029)	(65, 0.00021503468778307302)	(70, 0.0072552354008109995)	(75, 0.0003806813273558061)	(80, 0.000549387403543339)	(85, 0.0006818173027268168)	(90, 0.00040471975790066177)	(95, 0.0001547200802341623)	(100, 0.0010069917086426834)	(105, 0.00014029702190724886)	(110, 0.000549387403543339)	(115, 0.0002508738024135852)	(120, 0.00018749975824987463)	(125, 0.000634614566384191)	(130, 0.0018295430956502918)	(135, 0.000287587041791183)	(140, 0.0003666953314024355)	(145, 0.0010227259540902252)	(150, 5.244748482513976e-05)
D3_2_val_2	(1, 0.027816810762295436)	(2, 0.022598561648462828)	(3, 0.0005620662289417349)	(4, 9.841626576800807e-05)	(5, 0.0)	(6, 4.1553534435381183e-05)	(7, 0.0013822017770084686)	(8, 1.53091968972457e-05)	(9, 0.0)	(10, 0.0004898943007118624)	(15, 0.0022495771326438464)	(20, 0.000649137331261967)	(25, 0.00026116619112400845)	(30, 0.00039243721940738813)	(35, 0.00015532512637952338)	(40, 0.00022841665934413325)	(45, 0.0035120579584355886)	(50, 0.0003957110975260028)	(55, 0.0002872449849641919)	(60, 0.0004341533520500597)	(65, 0.00021527363078265252)	(70, 0.007247389406990405)	(75, 0.0003802285664244998)	(80, 0.0005500367822235229)	(85, 0.0006799768364566031)	(90, 0.00040389469096061936)	(95, 0.00015347304905827402)	(100, 0.0010066674568551541)	(105, 0.00014234713020730295)	(110, 0.0005541093654374973)	(115, 0.00025199909065508466)	(120, 0.00019094307738312002)	(125, 0.0006485587705774668)	(130, 0.0018564427157768913)	(135, 0.00029889807176731174)	(140, 0.00038929280213422293)	(145, 0.0011369635483865805)	(150, 0.0)
D4_1	(1, 2.9298141343492055e-06)	(2, 0.030177085583796812)	(3, 0.007974954073698536)	(4, 0.00035450751025625386)	(5, 0.0006006118975415871)	(6, 0.0)	(7, 8.496460989612695e-05)	(8, 0.00019336773286704755)	(9, 2.9298141343492055e-06)	(10, 1.9336773286704756e-05)	(15, 0.006926666576428391)	(20, 0.00028887967364683165)	(25, 3.105602982410158e-05)	(30, 8.320672141551743e-05)	(35, 0.0007213202398767744)	(40, 0.0006797168791690156)	(45, 0.0)	(50, 0.001618429327814501)	(55, 0.00014063107844876187)	(60, 0.00020039928678948564)	(65, 0.0005554927598726093)	(70, 5.683839420637458e-05)	(75, 0.0008285514371939552)	(80, 7.383131618559998e-05)	(85, 2.8712178516622212e-05)	(90, 0.000114262751239619)	(95, 0.00020098524961635549)	(100, 0.00032989707152772054)	(105, 0.0004476755997285586)	(110, 0.00015176437215928883)	(115, 0.00044298789711359987)	(120, 0.0003052866327991872)	(125, 0.00020215717527009519)	(130, 0.0008976950507645965)	(135, 0.00013359952452632378)	(140, 0.00046408255888091414)	(145, 2.5196401555403164e-05)	(150, 0.0)
D4_1_val_1	(1, 2.932550201667079e-06)	(2, 0.030178874125355908)	(3, 0.007976536548534453)	(4, 0.00035483857440171646)	(5, 0.0006011727913417511)	(6, 0.0)	(7, 8.504395584834528e-05)	(8, 0.00019354831331002718)	(9, 2.932550201667079e-06)	(10, 1.935483133100272e-05)	(15, 0.006927270086377973)	(20, 0.0002891581093608756)	(25, 3.1088196933145855e-05)	(30, 8.271182145509451e-05)	(35, 0.0007221713782023006)	(40, 0.000680013259730513)	(45, 0.0)	(50, 0.001621345472189954)	(55, 0.00014095464280454914)	(60, 0.00020043242266578004)	(65, 0.0005567181509725937)	(70, 5.658525759409965e-05)	(75, 0.0008306989463121517)	(80, 7.405165847249521e-05)	(85, 2.8544370037795422e-05)	(90, 0.00011345862107061667)	(95, 0.00020058080996068447)	(100, 0.00033176276798681454)	(105, 0.000447795465454965)	(110, 0.0001500044703176472)	(115, 0.00044458730378294794)	(120, 0.000314292504551431)	(125, 0.00019772554577001804)	(130, 0.0009116843367469731)	(135, 0.00014454172768808764)	(140, 0.0004659653255387492)	(145, 2.6690802462005784e-05)	(150, 0.0)
D4_2	(1, 0.029901683055167987)	(2, 0.02241600794190577)	(3, 0.00030763048410666657)	(4, 0.00010840312297092061)	(5, 2.9298141343492055e-06)	(6, 7.617516749307934e-05)	(7, 0.0013330654311288885)	(8, 8.789442403047617e-06)	(9, 0.0)	(10, 0.0005174051761260696)	(15, 0.002263574400198196)	(20, 0.0006181907823476823)	(25, 0.00028302004537813326)	(30, 0.0004148616814238475)	(35, 0.00015645207477424757)	(40, 0.00023321320509419677)	(45, 0.003342331964465574)	(50, 0.0003709144694086094)	(55, 0.00024903420141968245)	(60, 0.00048166144368700937)	(65, 0.00024434649880472376)	(70, 0.007135855305620924)	(75, 0.00041310379294323793)	(80, 0.0005830330127354919)	(85, 0.0007306956451066919)	(90, 0.00040724416467453954)	(95, 0.00017871866219530151)	(100, 0.0009984806569862093)	(105, 0.00018750810459834916)	(110, 0.0005578366111800887)	(115, 0.0002607534579570793)	(120, 0.00016465555435042533)	(125, 0.000674443213727187)	(130, 0.0018955897449239357)	(135, 0.00027540252862882534)	(140, 0.00039786875944462205)	(145, 0.0010576629025000632)	(150, 5.273665441828569e-05)
D4_2_val_2	(1, 0.0299120120570042)	(2, 0.022407616090938148)	(3, 0.00030791777117504326)	(4, 0.0001085043574616819)	(5, 2.932550201667079e-06)	(6, 7.624630524334404e-05)	(7, 0.0013225801409518525)	(8, 8.797650605001237e-06)	(9, 0.0)	(10, 0.0005173018555740727)	(15, 0.002264515265727318)	(20, 0.0006182111551111789)	(25, 0.00028215455281360117)	(30, 0.0004141796357740656)	(35, 0.00015665374459067873)	(40, 0.00023237424482404706)	(45, 0.0033401855558473745)	(50, 0.0003710594637175033)	(55, 0.00024847847904102533)	(60, 0.0004814818607793613)	(65, 0.00024545153871332893)	(70, 0.007131217244839714)	(75, 0.0004130716139952492)	(80, 0.0005854291102942281)	(85, 0.0007304230112227533)	(90, 0.000408546284151789)	(95, 0.00017780326291212852)	(100, 0.0009967436945640276)	(105, 0.00018891367300856774)	(110, 0.0005602039363704258)	(115, 0.0002630907144557992)	(120, 0.00016758518151595175)	(125, 0.0006861580924758943)	(130, 0.0019028027743816177)	(135, 0.0002931775915331591)	(140, 0.00041695535413634785)	(145, 0.0011425674032870625)	(150, 0.0)
D5_1	(1, 2.154017322004179e-06)	(2, 0.03305124178883212)	(3, 0.007474440107354499)	(4, 0.00029940840775858084)	(5, 0.0005751226249751157)	(6, 2.154017322004179e-06)	(7, 9.046872752417551e-05)	(8, 0.00021755574952242207)	(9, 4.308034644008358e-06)	(10, 1.723213857603343e-05)	(15, 0.007073362081997322)	(20, 0.0003321494710530444)	(25, 4.652677415529026e-05)	(30, 0.00011071649035101479)	(35, 0.0007508904384506567)	(40, 0.0006681761732856963)	(45, 0.0)	(50, 0.001706843325956111)	(55, 0.0001529352298622967)	(60, 0.00017232138576033429)	(65, 0.0005897699427647442)	(70, 6.591293005332787e-05)	(75, 0.0008168033685039845)	(80, 7.71138201277496e-05)	(85, 3.877231179607521e-05)	(90, 0.0001193325596390315)	(95, 0.00017576781347554098)	(100, 0.00034033473687666025)	(105, 0.0004471739960480675)	(110, 0.00013397987742865992)	(115, 0.0004204641812552157)	(120, 0.0003084552805109984)	(125, 0.0002459887781728772)	(130, 0.0009391515523938219)	(135, 0.0001335490739642591)	(140, 0.0005023168394913745)	(145, 3.6618294474071044e-05)	(150, 1.5078121254029251e-05)
D5_1_val_1	(1, 2.1559932710587612e-06)	(2, 0.03306646879822822)	(3, 0.007474828670760725)	(4, 0.00029968306467716783)	(5, 0.0005756502033726893)	(6, 2.1559932710587612e-06)	(7, 9.055171738446797e-05)	(8, 0.00021559932710587612)	(9, 4.3119865421175225e-06)	(10, 1.724794616847009e-05)	(15, 0.007076832312923278)	(20, 0.00033203090115868693)	(25, 4.65733142818004e-05)	(30, 0.00010997079684520262)	(35, 0.0007504378060629863)	(40, 0.0006685581946437395)	(45, 0.0)	(50, 0.0017065672738873227)	(55, 0.00015194534087519212)	(60, 0.00017277204785999965)	(65, 0.0005905954122669434)	(70, 6.580388166967635e-05)	(75, 0.000815944961324057)	(80, 7.695802844348732e-05)	(85, 3.839152343083755e-05)	(90, 0.00011867884658472651)	(95, 0.00017434879448463263)	(100, 0.00033885005586042834)	(105, 0.00044697925791190794)	(110, 0.0001320415922182671)	(115, 0.0004172662455795088)	(120, 0.0003134573785275565)	(125, 0.00024503824249768035)	(130, 0.000951035897617694)	(135, 0.00013765649657028592)	(140, 0.0004961935279793818)	(145, 4.2886435747834126e-05)	(150, 0.0)
D5_2	(1, 0.02875828526607779)	(2, 0.023823431581366218)	(3, 0.0002714061825725265)	(4, 0.00012062497003223401)	(5, 0.0)	(6, 5.600445037210865e-05)	(7, 0.0015422764025549921)	(8, 1.292410393202507e-05)	(9, 0.0)	(10, 0.0005247186196402179)	(15, 0.0022487940841723624)	(20, 0.0006207877922016044)	(25, 0.00030931688743980005)	(30, 0.0004053860600011864)	(35, 0.0001481963917538875)	(40, 0.00023435708463405465)	(45, 0.0035338808184800555)	(50, 0.0003894463318183555)	(55, 0.00026666734446411733)	(60, 0.00046569854501730344)	(65, 0.00022057137377322792)	(70, 0.00741240440848078)	(75, 0.0003747990140287271)	(80, 0.000545397185931458)	(85, 0.0007121181266545814)	(90, 0.00042735703668562904)	(95, 0.00016973656497392927)	(100, 0.0010446984011720267)	(105, 0.00016025888875711088)	(110, 0.0005738302145819132)	(115, 0.0002558972578540964)	(120, 0.00018567629315676022)	(125, 0.0007220266063358008)	(130, 0.0019144905957973139)	(135, 0.0003187945636566184)	(140, 0.0003411963438054619)	(145, 0.001004633678982749)	(150, 4.5234363762087754e-05)
D5_2_val_2	(1, 0.02875017026956858)	(2, 0.023804321705759784)	(3, 0.0002716551521534039)	(4, 0.00012073562317929063)	(5, 0.0)	(6, 5.605582504752779e-05)	(7, 0.001535067208993838)	(8, 1.2935959626352567e-05)	(9, 0.0)	(10, 0.0005243375635214908)	(15, 0.0022443889951721703)	(20, 0.0006187973035771663)	(25, 0.00030748864398724154)	(30, 0.00040498996634123644)	(35, 0.00014838167291200382)	(40, 0.00023338523199682715)	(45, 0.00353027567133993)	(50, 0.0003897207749049065)	(55, 0.0002659634294239919)	(60, 0.00046443479121891277)	(65, 0.00022055568043619994)	(70, 0.007401857638058004)	(75, 0.0003753233204303106)	(80, 0.0005453824667208837)	(85, 0.0007130741459515536)	(90, 0.0004306203126343772)	(95, 0.00017000193207636225)	(100, 0.0010470296566209747)	(105, 0.00016304225738607446)	(110, 0.0005811063708990622)	(115, 0.00025729713375555)	(120, 0.00018454213643663583)	(125, 0.0007410717475599647)	(130, 0.0019307642161588373)	(135, 0.0003261075475540798)	(140, 0.00035983936770625594)	(145, 0.0011037425605592507)	(150, 0.0)
D6_1	(1, 1.1067224156686926e-05)	(2, 0.032546492799984915)	(3, 0.00784002159259702)	(4, 0.00027889404874851056)	(5, 0.0005467208733403342)	(6, 0.0)	(7, 7.747056909680848e-05)	(8, 0.0002722537142544984)	(9, 8.853779325349542e-06)	(10, 1.2837980021756836e-05)	(15, 0.006840872595731322)	(20, 0.0003249337012403282)	(25, 4.648234145808509e-05)	(30, 0.00011908333192595132)	(35, 0.0007472589750595012)	(40, 0.0006596065597385409)	(45, 1.3280668988024312e-06)	(50, 0.001620241616538966)	(55, 0.0001487434926658723)	(60, 0.00016512298441776892)	(65, 0.0006286183320998174)	(70, 7.7027880130541e-05)	(75, 0.0008486347483347536)	(80, 8.455359255708813e-05)	(85, 3.320167247006078e-05)	(90, 0.00010270384017405469)	(95, 0.00017707558650699082)	(100, 0.0003461827716211671)	(105, 0.0004382620766048023)	(110, 0.00012705173331876591)	(115, 0.0004373766986722673)	(120, 0.000299700430163082)	(125, 0.0002735817811533008)	(130, 0.0009119392705110027)	(135, 0.00013059324504890573)	(140, 0.000473234504939933)	(145, 3.497242833513069e-05)	(150, 3.098822763872339e-05)
D6_1_val_1	(1, 1.1075890272306965e-05)	(2, 0.03256090222252801)	(3, 0.007837299956684408)	(4, 0.0002791124348621355)	(5, 0.000547148979451964)	(6, 0.0)	(7, 7.753123190614876e-05)	(8, 0.00027246690069875133)	(9, 8.860712217845572e-06)	(10, 1.2848032715876078e-05)	(15, 0.006841798939009458)	(20, 0.00032430857588838395)	(25, 4.6079270807590976e-05)	(30, 0.0001191927275953009)	(35, 0.0007471073386395266)	(40, 0.0006598694997052036)	(45, 1.3296593309523892e-06)	(50, 0.0016203038479778175)	(55, 0.00014767045794972626)	(60, 0.00016549930276652317)	(65, 0.0006279465888526859)	(70, 7.647995221674874e-05)	(75, 0.0008501241655800739)	(80, 8.397611240520683e-05)	(85, 3.363042601140367e-05)	(90, 0.00010405381594892567)	(95, 0.00017775799706134287)	(100, 0.0003459836440688463)	(105, 0.0004403266484463227)	(110, 0.00012636165269416452)	(115, 0.0004379493738425968)	(120, 0.0003069846199636781)	(125, 0.0002806200428942938)	(130, 0.0009354560942885467)	(135, 0.0001435770655610457)	(140, 0.00047888244777112956)	(145, 3.738332475918642e-05)	(150, 0.0)
D6_2	(1, 0.028878814714458866)	(2, 0.02358425467789984)	(3, 0.0004050604041347415)	(4, 0.00011731257606088141)	(5, 6.6403344940121555e-06)	(6, 5.754956561477202e-05)	(7, 0.0016888584063104249)	(8, 2.2134448313373855e-06)	(9, 0.0)	(10, 0.000502009287747319)	(15, 0.0023152632935789052)	(20, 0.0006702310949289602)	(25, 0.0003160799219149786)	(30, 0.0004440170331662795)	(35, 0.00014564466990199995)	(40, 0.0002682695135580911)	(45, 0.0035087527466360234)	(50, 0.000414799561392626)	(55, 0.0002780086708159756)	(60, 0.0004949262642870393)	(65, 0.00023905204178443763)	(70, 0.007396889937363274)	(75, 0.00040328964826967154)	(80, 0.0005356536491836472)	(85, 0.0007007766336014162)	(90, 0.0004506573676602916)	(95, 0.00016335222855269903)	(100, 0.0011005247701409478)	(105, 0.0001775182754732583)	(110, 0.000567969943721173)	(115, 0.00025189002180619444)	(120, 0.00019788196792156222)	(125, 0.0007698361123391425)	(130, 0.0019407484281166194)	(135, 0.00034042781505968985)	(140, 0.0003652183971706686)	(145, 0.0010907856128830635)	(150, 5.090923112075986e-05)
D6_2_val_2	(1, 0.028885921830176565)	(2, 0.023591646280013836)	(3, 0.00040537758396643495)	(4, 0.00011740443688645383)	(5, 6.645534163384178e-06)	(6, 5.7594629415996215e-05)	(7, 0.0016901808555540429)	(8, 2.215178054461393e-06)	(9, 0.0)	(10, 0.0005019593471409517)	(15, 0.0023130889244685864)	(20, 0.0006694513776401096)	(25, 0.0003163658303812133)	(30, 0.00044312391155473606)	(35, 0.000145799290879224)	(40, 0.000267694972286878)	(45, 0.0035057790389342713)	(50, 0.00041454170446053)	(55, 0.00027807823581703204)	(60, 0.0004947788890388362)	(65, 0.000239392257053312)	(70, 0.007391794700537683)	(75, 0.00040282542106819907)	(80, 0.0005360718432405493)	(85, 0.0007049677846539393)	(90, 0.0004513992220355152)	(95, 0.00016507923406409994)	(100, 0.0011034258965199424)	(105, 0.00018298690692638067)	(110, 0.0005761710644120589)	(115, 0.0002508910237604416)	(120, 0.00020742792098346675)	(125, 0.0008000686194678389)	(130, 0.0019775274134287897)	(135, 0.0003806059459114965)	(140, 0.00039915236784721054)	(145, 0.0012604371646373132)	(150, 0.0)
