Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
D3_2	(1.0, 16.862925386407667)	(2.0, 9.315083027735017)	(3.0, 6.29372776263973)	(4.0, 4.796342264955142)	(5.0, 3.7751832026367658)	(6.0, 3.070343931083096)	(7.0, 2.5256443396930246)	(8.0, 2.183606736851879)	(9.0, 1.896331695580379)	('>10', 22.344999206440633)	('>50', 6.740509157908818)	('>100', 12.384504788965177)	('>500', 3.2094388468055812)	('>1k', 3.798182792211139)	('>5k', 0.5750846235860736)	('>10k+', 0.22809223650012994)
D3_2_val_2	(1.0, 16.82700169726921)	(2.0, 9.323833295731468)	(3.0, 6.293242314443864)	(4.0, 4.8030110024323776)	(5.0, 3.775441339290149)	(6.0, 3.0741913138172463)	(7.0, 2.524911386373162)	(8.0, 2.184672566144299)	(9.0, 1.895555503294456)	('>10', 22.3608898104711)	('>50', 6.744217484509847)	('>100', 12.39310707081017)	('>500', 3.2107416373170836)	('>1k', 3.800699956278265)	('>5k', 0.5754952238183304)	('>10k+', 0.21298839799887806)
D4_1	(1.0, 25.8196756033108)	(2.0, 11.607073045427189)	(3.0, 7.075787673010236)	(4.0, 4.828373864212914)	(5.0, 3.7793382110998976)	(6.0, 3.0392322975333803)	(7.0, 2.3965531960816655)	(8.0, 2.038488328602634)	(9.0, 1.730769662176843)	('>10', 20.225441518776087)	('>50', 5.664348488464845)	('>100', 9.190041154704053)	('>500', 1.7284596488274917)	('>1k', 0.8605821651326407)	('>5k', 0.015835142639273676)	('>10k+', 0.0)
D4_1_val_1	(1.0, 25.804667124976866)	(2.0, 11.619380697917277)	(3.0, 7.0758261910709885)	(4.0, 4.8303004755433445)	(5.0, 3.7765268683965)	(6.0, 3.045909444488018)	(7.0, 2.4013363810671167)	(8.0, 2.038515383815764)	(9.0, 1.7317494661924862)	('>10', 20.230001812776862)	('>50', 5.66695358869876)	('>100', 9.172569513967867)	('>500', 1.7292778861059368)	('>1k', 0.861137852378495)	('>5k', 0.015847312603577163)	('>10k+', 0.0)
D4_2	(1.0, 20.671909527830888)	(2.0, 11.021990546143051)	(3.0, 6.994847108640815)	(4.0, 5.207859050736584)	(5.0, 3.8992625978145354)	(6.0, 3.1835238709239744)	(7.0, 2.529375447865884)	(8.0, 2.1433903455713335)	(9.0, 1.8836026442331333)	('>10', 21.113529108485462)	('>50', 6.30401230079955)	('>100', 10.09383793966332)	('>500', 2.2127533174077016)	('>1k', 2.4417528389086867)	('>5k', 0.20451968693157221)	('>10k+', 0.09383366804357562)
D4_2_val_2	(1.0, 20.61743370093372)	(2.0, 11.034297665848758)	(3.0, 6.999687023703245)	(4.0, 5.209886842433357)	(5.0, 3.9040274847336915)	(6.0, 3.187349471450001)	(7.0, 2.534113933939636)	(8.0, 2.1434790964116197)	(9.0, 1.8864756970939713)	('>10', 21.1313345549191)	('>50', 6.306165516182887)	('>100', 10.104576508407986)	('>500', 2.214156147169607)	('>1k', 2.4440580046737903)	('>5k', 0.20471168376097865)	('>10k+', 0.0782466683376425)
D5_1	(1.0, 22.442031188978596)	(2.0, 10.564534446305398)	(3.0, 6.629756262244131)	(4.0, 4.754588391939951)	(5.0, 3.6687538192545848)	(6.0, 3.073271404633728)	(7.0, 2.583400131475773)	(8.0, 2.0895004620792834)	(9.0, 1.890690575690837)	('>10', 21.70278057934281)	('>50', 6.093377814822527)	('>100', 10.508410338537347)	('>500', 2.459994324410924)	('>1k', 1.5004662465665826)	('>5k', 0.03844401371756428)	('>10k+', 0.0)
D5_1_val_1	(1.0, 22.418345572091972)	(2.0, 10.564908488227319)	(3.0, 6.632827022190864)	(4.0, 4.761375307417331)	(5.0, 3.666060894689384)	(6.0, 3.0790716182815703)	(7.0, 2.584453631266255)	(8.0, 2.0905371775695585)	(9.0, 1.8917221776233264)	('>10', 21.71462175700696)	('>50', 6.1014548177289445)	('>100', 10.506242296787777)	('>500', 2.456488427025276)	('>1k', 1.4934340932449377)	('>5k', 0.03845671884871596)	('>10k+', 0.0)
D5_2	(1.0, 18.131478622971326)	(2.0, 9.715597180001161)	(3.0, 6.51723739947946)	(4.0, 4.929637498488799)	(5.0, 3.8620377053376487)	(6.0, 3.2277064082407727)	(7.0, 2.6778021038044075)	(8.0, 2.195049569587287)	(9.0, 1.959523152023854)	('>10', 22.331906563847102)	('>50', 6.570894213422812)	('>100', 11.441013615609265)	('>500', 2.853662325762695)	('>1k', 3.0949099942581713)	('>5k', 0.3765437670264872)	('>10k+', 0.11499988013861774)
D5_2_val_2	(1.0, 18.079053927025637)	(2.0, 9.72198385648306)	(3.0, 6.51629360889346)	(4.0, 4.935152669222743)	(5.0, 3.864799540810996)	(6.0, 3.2332467161647402)	(7.0, 2.676879780113657)	(8.0, 2.194128155123935)	(9.0, 1.9641639080431694)	('>10', 22.357682868499143)	('>50', 6.570332512872984)	('>100', 11.449879354859801)	('>500', 2.8571197470722987)	('>1k', 3.10000983568828)	('>5k', 0.3768801874130128)	('>10k+', 0.10239333171347459)
D6_1	(1.0, 22.661171403116125)	(2.0, 10.755397711981011)	(3.0, 6.682205791190531)	(4.0, 4.808375909299376)	(5.0, 3.6997279600758133)	(6.0, 3.106589119111129)	(7.0, 2.4466562522038644)	(8.0, 2.169991466118969)	(9.0, 1.7626078686656936)	('>10', 21.39277716726887)	('>50', 6.037239199590226)	('>100', 10.494659030757918)	('>500', 2.3895278112417326)	('>1k', 1.5371255664328705)	('>5k', 0.0559477429458323)	('>10k+', 0.0)
D6_1_val_1	(1.0, 22.651376043040493)	(2.0, 10.766017650490776)	(3.0, 6.678609454122079)	(4.0, 4.812278130204524)	(5.0, 3.7045531001893623)	(6.0, 3.1057321886218197)	(7.0, 2.449569041642293)	(8.0, 2.1691094105027)	(9.0, 1.7636122703900903)	('>10', 21.391849466157588)	('>50', 6.036693387734264)	('>100', 10.49166183194539)	('>500', 2.3920265403351944)	('>1k', 1.5309321482093021)	('>5k', 0.05597933641412088)	('>10k+', 0.0)
D6_2	(1.0, 18.04567722284981)	(2.0, 9.958738632717536)	(3.0, 6.58884292529686)	(4.0, 4.920391106345384)	(5.0, 3.8442856965798335)	(6.0, 3.1149714577572456)	(7.0, 2.630073479654451)	(8.0, 2.2144004336888745)	(9.0, 1.9554543210383328)	('>10', 22.44375867446929)	('>50', 6.666527421398387)	('>100', 11.46791427526241)	('>500', 2.713515366959685)	('>1k', 3.0068733527071236)	('>5k', 0.3038410371799415)	('>10k+', 0.12473459609484042)
D6_2_val_2	(1.0, 18.00098054846808)	(2.0, 9.968127957472143)	(3.0, 6.593580076116669)	(4.0, 4.922338403391248)	(5.0, 3.8480633279314773)	(6.0, 3.119665323624813)	(7.0, 2.630135661592992)	(8.0, 2.2163087071603083)	(9.0, 1.9545760614023509)	('>10', 22.460655198047927)	('>50', 6.671098560332048)	('>100', 11.470112488722599)	('>500', 2.716952234531633)	('>1k', 3.008904360332924)	('>5k', 0.3040664244191471)	('>10k+', 0.1144346664538133)
D7_1	(1.0, 22.962189221578186)	(2.0, 10.944802698640716)	(3.0, 6.748665888515261)	(4.0, 4.786413223985419)	(5.0, 3.7949001240886413)	(6.0, 3.0325721372984815)	(7.0, 2.543031219176972)	(8.0, 2.1931160044983877)	(9.0, 1.7880506877419293)	('>10', 21.24288482789215)	('>50', 6.041112275085156)	('>100', 10.321531604508435)	('>500', 2.27265785997971)	('>1k', 1.328072227010523)	('>5k', 0.0)	('>10k+', 0.0)
D7_1_val_1	(1.0, 22.954596491233627)	(2.0, 10.938586529274007)	(3.0, 6.7551762098693)	(4.0, 4.7879584378408415)	(5.0, 3.8020159644717624)	(6.0, 3.0348570774337964)	(7.0, 2.5395565685828827)	(8.0, 2.19244914802188)	(9.0, 1.7911431941180396)	('>10', 21.254874514967835)	('>50', 6.049668472962997)	('>100', 10.321689783379151)	('>500', 2.2687884938678873)	('>1k', 1.3086391139760682)	('>5k', 0.0)	('>10k+', 0.0)
D7_2	(1.0, 18.412808023673005)	(2.0, 9.857422936383923)	(3.0, 6.785375070548687)	(4.0, 4.832754732041911)	(5.0, 3.9074634809937265)	(6.0, 3.1884170057893813)	(7.0, 2.6244176844683653)	(8.0, 2.2485656410319774)	(9.0, 1.9173642580652448)	('>10', 22.466319021788312)	('>50', 6.6656395461606985)	('>100', 11.113271406991684)	('>500', 2.617901687827345)	('>1k', 2.9366893745848865)	('>5k', 0.33111135146530496)	('>10k+', 0.09447877818562972)
D7_2_val_2	(1.0, 18.35967950417036)	(2.0, 9.864546174461585)	(3.0, 6.790459891673099)	(4.0, 4.841415304213806)	(5.0, 3.9105195905924455)	(6.0, 3.190502249063133)	(7.0, 2.625539439543019)	(8.0, 2.252451256168706)	(9.0, 1.918440839583659)	('>10', 22.48249390870977)	('>50', 6.66968276421309)	('>100', 11.124480181319349)	('>500', 2.628482902984669)	('>1k', 2.9368606531474657)	('>5k', 0.3314492807108038)	('>10k+', 0.07299605944523355)
D8_1	(1.0, 0.0)	(2.0, 35.27775970174289)	(3.0, 0.0)	(4.0, 13.753820520220664)	(5.0, 0.0)	(6.0, 7.494755681377492)	(7.0, 0.0)	(8.0, 4.921595148240296)	(9.0, 0.0)	('>10', 22.334056622646376)	('>50', 5.504928588471867)	('>100', 8.69656931321557)	('>500', 1.3995862719976369)	('>1k', 0.6169281520871975)	('>5k', 0.0)	('>10k+', 0.0)
D8_1_val_1	(1.0, 0.0)	(2.0, 35.25675016438899)	(3.0, 0.0)	(4.0, 13.772556162110442)	(5.0, 0.0)	(6.0, 7.497068759215822)	(7.0, 0.0)	(8.0, 4.9276137901182615)	(9.0, 0.0)	('>10', 22.337816902405283)	('>50', 5.5058863735878045)	('>100', 8.697118098399397)	('>500', 1.3921754807634368)	('>1k', 0.6130142690105145)	('>5k', 0.0)	('>10k+', 0.0)
D8_2	(1.0, 0.0)	(2.0, 31.438279381675038)	(3.0, 0.0)	(4.0, 13.244300878561093)	(5.0, 0.0)	(6.0, 7.448088226055262)	(7.0, 0.0)	(8.0, 5.037940846744977)	(9.0, 0.0)	('>10', 23.23901890403216)	('>50', 5.904775980502123)	('>100', 9.494162074501965)	('>500', 1.9577837194853347)	('>1k', 2.0306827527681)	('>5k', 0.11604733488826278)	('>10k+', 0.08891990078572838)
D8_2_val_2	(1.0, 0.0)	(2.0, 31.387481529145017)	(3.0, 0.0)	(4.0, 13.25811434331128)	(5.0, 0.0)	(6.0, 7.450438771255639)	(7.0, 0.0)	(8.0, 5.045759234619903)	(9.0, 0.0)	('>10', 23.25833751156628)	('>50', 5.908945119563434)	('>100', 9.51278372112332)	('>500', 1.9589656674408686)	('>1k', 2.032440475088825)	('>5k', 0.11613211727937718)	('>10k+', 0.07060150960604722)
D9_1	(1.0, 23.17431970359473)	(2.0, 11.195042710387519)	(3.0, 6.83379481624485)	(4.0, 4.824124747968532)	(5.0, 3.7741999150079573)	(6.0, 3.019249614133219)	(7.0, 2.4432895381167543)	(8.0, 2.1384654753361434)	(9.0, 1.90731441609668)	('>10', 21.3618025473318)	('>50', 5.99715888573317)	('>100', 9.890116799075685)	('>500', 2.101409769688032)	('>1k', 1.2960524146747416)	('>5k', 0.011711660245119885)	('>10k+', 0.03194698636543855)
D9_1_val_1	(1.0, 23.162218062782518)	(2.0, 11.202579883910701)	(3.0, 6.840828313934696)	(4.0, 4.8219551338941695)	(5.0, 3.778323842248553)	(6.0, 3.0231246539362004)	(7.0, 2.4450708953566376)	(8.0, 2.1382397675652474)	(9.0, 1.9098738926851044)	('>10', 21.379130249168618)	('>50', 5.9984346018839965)	('>100', 9.89656277349181)	('>500', 2.100863487429373)	('>1k', 1.2910730294444175)	('>5k', 0.011721412267734503)	('>10k+', 0.0)
D9_2	(1.0, 18.013253581215206)	(2.0, 10.152345789535735)	(3.0, 6.7788958095872305)	(4.0, 5.091256388254656)	(5.0, 4.047783530882927)	(6.0, 3.204507143851672)	(7.0, 2.5900075579408184)	(8.0, 2.32863997773571)	(9.0, 1.8518620979496903)	('>10', 22.463133764171435)	('>50', 6.521175277686265)	('>100', 10.858077651297455)	('>500', 2.6078266881670302)	('>1k', 3.049378071490512)	('>5k', 0.3065770992710415)	('>10k+', 0.13527957096258644)
D9_2_val_2	(1.0, 17.955932342900972)	(2.0, 10.163509080878583)	(3.0, 6.783894145490151)	(4.0, 5.097787514000142)	(5.0, 4.053198509557068)	(6.0, 3.2069879705671376)	(7.0, 2.592373040012077)	(8.0, 2.33095877456122)	(9.0, 1.855020565489066)	('>10', 22.47830856401064)	('>50', 6.526924884438863)	('>100', 10.881296787921183)	('>500', 2.6146050264973457)	('>1k', 3.04955351548711)	('>5k', 0.30688209799428756)	('>10k+', 0.10276718019380122)
