Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D6_1_val_1	D6_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45143098.0	6.4 Gbp	0.0	20-150	51.0	34.851320538995665	143.14074102756527	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D6_2	D6_2.gz	Conventional base calls	Sanger / Illumina 1.9	45178447.0	6.7 Gbp	0.0	150.0	52.0	29.993675478229047	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
D6_2_val_2	D6_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45143098.0	6.4 Gbp	0.0	20-150	52.0	29.958336955714532	143.02133774691316	147	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D7_1	D7_1.gz	Conventional base calls	Sanger / Illumina 1.9	46424193.0	6.9 Gbp	0.0	150.0	51.0	35.29028703417838	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
D7_1_val_1	D7_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46372779.0	6.7 Gbp	0.0	20-150	51.0	35.28411382357251	145.31933479768378	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D7_2	D7_2.gz	Conventional base calls	Sanger / Illumina 1.9	46424193.0	6.9 Gbp	0.0	150.0	52.0	30.387956819058097	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
D7_2_val_2	D7_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46372779.0	6.7 Gbp	0.0	20-150	52.0	30.34506767438457	145.17996016585505	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D8_1	D8_1.gz	Conventional base calls	Sanger / Illumina 1.9	31264138.0	4.6 Gbp	0.0	150.0	51.0	24.37076709288646	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
D8_1_val_1	D8_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31232772.0	4.5 Gbp	0.0	20-150	51.0	24.366143245838806	145.2784993916006	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D8_2	D8_2.gz	Conventional base calls	Sanger / Illumina 1.9	31264138.0	4.6 Gbp	0.0	150.0	52.0	22.381878862891995	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	fail
D8_2_val_2	D8_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31232772.0	4.5 Gbp	0.0	20-150	52.0	22.362443726622327	145.1375237843122	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
D9_1	D9_1.gz	Conventional base calls	Sanger / Illumina 1.9	45919571.0	6.8 Gbp	0.0	150.0	51.0	35.65578529992791	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
D9_1_val_1	D9_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45863956.0	6.6 Gbp	0.0	20-150	51.0	35.65207641090111	144.996760004741	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
D9_2	D9_2.gz	Conventional base calls	Sanger / Illumina 1.9	45919571.0	6.8 Gbp	0.0	150.0	52.0	30.217354679051304	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
D9_2_val_2	D9_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45863956.0	6.6 Gbp	0.0	20-150	52.0	30.172465646670098	144.8477774464113	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
